anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,charter_school,public_school,grades,school_name,es,ms,hs,geography
5C,Cluster 22,"Brookland, Brentwood, Langdon",5C02,Ward 5,011100,UPPER NORTHEAST,1,0,Adult,Academy of Hope Adult PCS [18th Place],0,0,1,0101000020E6100000135334F1943E53C0CEFA5956DC754340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C03,Ward 8,009804,FAR SOUTHEAST AND SOUTHWEST,1,0,Adult,Academy of Hope Adult PCS [Southeast],0,0,1,0101000020E61000003DADA1F1FB3F53C053FB167CE26B4340
8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E06,Ward 8,009801,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-3rd,Achievement Prep PCS - Wahler Place Elementary,1,0,0,0101000020E610000020949F5E813F53C0B657CB82CB6A4340
8E,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8E06,Ward 8,009801,FAR SOUTHEAST AND SOUTHWEST,1,0,4th-8th,Achievement Prep PCS - Wahler Place Middle,1,0,0,0101000020E610000020949F5E813F53C0B657CB82CB6A4340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C03,Ward 7,007804,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Aiton Elementary School,1,0,0,0101000020E6100000C4EDEDCAC13B53C088251E33D1724340
6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D01,Ward 6,010200,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,0,1,PK3-5th,Amidon-Bowen Elementary School,1,0,0,0101000020E6100000A8359000294153C011D26B3494704340
8A,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",8A02,Ward 8,007601,FAR NORTHEAST AND SOUTHEAST,0,1,9th-12th,Anacostia High School,0,0,1,0101000020E610000012D95BC6EA3E53C0DCE294285F6F4340
1B,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1B07,Ward 1,003700,MID-CITY,1,0,PK3-PK4,AppleTree Early Learning PCS - Columbia Heights,1,0,0,0101000020E610000006CB2583184253C08A1C0EA46E764340
8E,Cluster 38,"Douglas, Shipley Terrace",8E03,Ward 8,007403,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-PK4,AppleTree Early Learning PCS - Douglas Knoll,1,0,0,0101000020E610000014E0CE20653E53C0494BBA84A46C4340
6A,Cluster 26,"Capitol Hill, Lincoln Park",6A03,Ward 6,008100,CAPITOL HILL,1,0,PK3-PK4,AppleTree Early Learning PCS - Lincoln Park,1,0,0,0101000020E6100000E7234CF9643F53C05B432E5B1D724340
7D,Cluster 25,"Union Station, Stanton Park, Kingman Park",7D01,Ward 7,007903,CAPITOL HILL,1,0,PK3-PK4,AppleTree Early Learning PCS - Oklahoma Ave,1,0,0,0101000020E6100000733300FD6F3E53C0AE4B215C82724340
8B,Cluster 38,"Douglas, Shipley Terrace",8B07,Ward 8,007409,FAR SOUTHEAST AND SOUTHWEST,1,0,PK3-PK4,AppleTree Early Learning PCS - Parklands @ THEARC,1,0,0,0101000020E610000033C1289B883E53C0385B3CF1F36B4340
6D,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",6D01,Ward 6,010200,CENTRAL WASHINGTON,1,0,PK3-PK4,AppleTree Early Learning PCS - Southwest,1,0,0,0101000020E610000077CC0234344153C07BA5215F2E714340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C04,Ward 8,009803,FAR SOUTHEAST AND SOUTHWEST,0,1,9th-12th,Ballou High School,0,0,1,0101000020E610000021F81004104053C006159022716B4340
8C,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",8C04,Ward 8,009803,FAR SOUTHEAST AND SOUTHWEST,0,1,Adult,Ballou STAY High School,0,0,1,0101000020E610000021F81004104053C006159022716B4340
1D,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1D03,Ward 1,002701,MID-CITY,0,1,PK3-5th,Bancroft Elementary School,1,0,0,0101000020E6100000161A2977984253C0288417FD97774340
7E,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",7E01,Ward 7,007707,FAR NORTHEAST AND SOUTHEAST,0,1,9th-12th,Bard High School Early College DC,0,0,1,0101000020E610000051CD39F1013C53C0AFADD48D85704340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C09,Ward 4,002202,ROCK CREEK EAST,0,1,PK3-5th,Barnard Elementary School,1,0,0,0101000020E6100000B3F70A4C234153C0FD7D51E05F794340
2C,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2C03,Ward 2,005800,CENTRAL WASHINGTON,1,0,5th-12th,BASIS DC PCS,0,0,0,0101000020E6100000181EC77E7C4153C0DF2A20A196724340
7B,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",7B04,Ward 7,007604,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Beers Elementary School,1,0,0,0101000020E6100000A3B049AA283D53C04BC67442A36E4340
1B,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1B11,Ward 1,003500,MID-CITY,0,1,9th-12th,Benjamin Banneker High School,0,0,1,0101000020E6100000FBC142E0884153C00385666540764340
8A,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",8A01,Ward 8,007601,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Boone Elementary School,1,0,0,0101000020E6100000A866B3FB5D3E53C0FABA184B976F4340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C06,Ward 4,002502,ROCK CREEK EAST,1,0,PK3-1st,Breakthrough Montessori PCS - Petworth,1,0,0,0101000020E6100000B5646CA0D04153C0BDEEEFCC67784340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B07,Ward 4,001702,ROCK CREEK EAST,1,0,PK3-1st,Breakthrough Montessori PCS - Takoma,1,0,0,0101000020E6100000AEC43C08EC4053C01EEFDA0F997C4340
6B,Cluster 26,"Capitol Hill, Lincoln Park",6B02,Ward 6,006500,CAPITOL HILL,0,1,PK3-5th,Brent Elementary School,1,0,0,0101000020E61000007FE594F4174053C001DBFF6841714340
5A,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5A07,Ward 5,009508,UPPER NORTHEAST,1,0,PK3-5th,Bridges PCS,1,0,0,0101000020E61000003315F7927A4053C07CB58BA4F7794340
4A,Cluster 18,"Brightwood Park, Crestwood, Petworth",4A06,Ward 4,002001,ROCK CREEK EAST,0,1,PK3-8th,Brightwood Education Campus,1,0,0,0101000020E6100000177FEFD7F64153C08A484C14F37A4340
1D,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1D03,Ward 1,002701,MID-CITY,1,0,PK3-PK4; Adult,Briya PCS [Bancroft/Mount Pleasant],1,0,0,0101000020E61000004CB61C77984253C0FF2D04FD97774340
5A,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5A07,Ward 5,009508,UPPER NORTHEAST,1,0,PK3-PK4; Adult,Briya PCS [Gallatin Street/Fort Totten],1,0,0,0101000020E61000003315F7927A4053C07CB58BA4F7794340
4C,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C06,Ward 4,002502,ROCK CREEK EAST,1,0,PK3-PK4; Adult,Briya PCS [Georgia Avenue/Petworth],1,0,0,0101000020E6100000D48898709B4153C00125D59439784340
1C,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1C07,Ward 1,003800,MID-CITY,1,0,PK3-PK4; Adult,Briya PCS [Ontario Road/Adams Morgan],1,0,0,0101000020E6100000040089388C4253C0E7A891ADE2754340
5B,Cluster 20,"North Michigan Park, Michigan Park, University Heights",5B05,Ward 5,009504,UPPER NORTHEAST,0,1,6th-8th,Brookland Middle School,0,1,0,0101000020E610000072165D8E6D3F53C029CA183720784340
5D,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",5D04,Ward 5,008904,UPPER NORTHEAST,0,1,PK3-8th,Browne Education Campus,1,0,0,0101000020E6100000738537721F3E53C02738BF9A88734340
1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A08,Ward 1,003200,MID-CITY,0,1,PK3-5th,Bruce-Monroe Elementary School @ Park View,1,0,0,0101000020E61000002312B1245B4153C0233523209B774340
5B,Cluster 20,"North Michigan Park, Michigan Park, University Heights",5B02,Ward 5,009503,UPPER NORTHEAST,0,1,PK3-5th,Bunker Hill Elementary School,1,0,0,0101000020E6100000E3937E330A3F53C05956FD1C94784340
5B,Cluster 22,"Brookland, Brentwood, Langdon",5B02,Ward 5,009400,UPPER NORTHEAST,0,1,PK3-5th,Burroughs Elementary School,1,0,0,0101000020E6100000BD64FA109F3E53C0DCA679427D774340
7C,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",7C06,Ward 7,007807,FAR NORTHEAST AND SOUTHEAST,0,1,PK3-5th,Burrville Elementary School,1,0,0,0101000020E6100000DB4344602A3B53C09E2CBCFB45734340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B06,Ward 4,001902,ROCK CREEK EAST,1,0,9th-12th,Capital City PCS - High School,0,0,1,0101000020E610000054F19FDBD24053C0A4976E76287B4340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B06,Ward 4,001902,ROCK CREEK EAST,1,0,PK3-4th,Capital City PCS - Lower School,1,0,0,0101000020E610000054F19FDBD24053C0A4976E76287B4340
4B,Cluster 17,"Takoma, Brightwood, Manor Park",4B06,Ward 4,001902,ROCK CREEK EAST,1,0,5th-8th,Capital City PCS - Middle School,0,0,0,0101000020E610000054F19FDBD24053C0A4976E76287B4340
5E,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",5E02,Ward 5,009204,UPPER NORTHEAST,1,0,5th-8th,Capital Village PCS,0,0,0,0101000020E610000000BD4281BB3F53C0FD3A80253B764340
6C,Cluster 25,"Union Station, Stanton Park, Kingman Park",6C04,Ward 6,008301,CAPITOL HILL,0,1,PK3-8th,Capitol Hill Montessori,1,0,0,0101000020E6100000D47445062A4053C0ED620F4903734340
1B,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1B06,Ward 1,003600,MID-CITY,0,1,6th-12th,Cardozo Education Campus,0,1,0,0101000020E61000000E4BBC80D24153C023796DFE09764340
1B,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1B09,Ward 1,003600,MID-CITY,1,0,Adult,Carlos Rosario International PCS [Harvard Street],0,0,1,0101000020E610000021B1498AC34153C02DCE819C96764340
