near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,blkgrp,block,geoid,geoid10,aland10,awater10,total_pop,total_pop_one_race,pop_white,pop_black,pop_native,pop_asian,pop_pacific_islander,pop_other_race,pop_black_other,pop_native_other,pop_asian_other,pop_pacific_islander_other,pop_hispanic,pop_white_non_hispanic,pop_non_hispanic_black,pop_non_hispanic_native,pop_non_hispanic_asian,pop_non_hispanic_pacific_islander,pop_non_hispanic_other,pop_non_hispanic_black_other,pop_non_hispanic_native_other,pop_non_hispanic_asian_other,pop_non_hispanic_pacific_islander_other,adult_total_pop,adult_pop_white,adult_pop_black,adult_pop_native,adult_pop_asian,adult_pop_pacific_islander,adult_pop_other_race,adult_pop_black_other,adult_pop_native_other,adult_pop_asian_other,adult_pop_pacific_islander_other,adult_pop_hispanic,adult_pop_white_non_hispanic,adult_pop_non_hispanic_black,adult_pop_non_hispanic_native,adult_pop_non_hispanic_asian,adult_pop_non_hispanic_pacific_islander,adult_pop_non_hispanic_other,adult_pop_non_hispanic_black_other,adult_pop_non_hispanic_native_other,adult_pop_non_hispanic_asian_other,adult_pop_non_hispanic_pacific_islander_other,total_housing_units,total_occupied_housing_units,total_vacant_housing_units,acres,shape_length,shape_area,sqmiles,geography
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,4387,0028011,1000,110010028011000,110010028011000,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33158184,179.55006842387064,1341.864109973324,0.0005181,0103000020E610000001000000080000000B76644D184253C0F521E5D088774340C8579651184253C0A37344889177434090549F831A4253C017540B9991774340DEB3EE86204253C0398A6D3892774340D0331B09204253C0B0FE19D8907743403901D6151F4253C061FF905A8E774340AA493349184253C0680C6AD67F7743400B76644D184253C0F521E5D088774340
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,4391,0028012,2000,110010028012000,110010028012000,10760,0,110,107,22,41,0,2,0,42,3,1,1,0,48,17,41,0,2,0,0,2,0,1,0,86,19,32,0,2,0,30,3,1,1,0,34,16,32,0,2,0,0,2,0,1,0,38,38,0,2.65864017,433.11735399981256,10759.135028846853,0.00415413,0103000020E61000000100000014000000AB203349184253C02A902A57DE774340AEAC3249184253C07F94636DF2774340667AB27E1F4253C0F8A8BC96F67743401190D918274253C014F9FA7CFA774340F44BC285284253C091C5242DFB7743405B01DEC8284253C0D30A6E5BFA774340E22EE34A294253C0CBA54514F9774340310B6396294253C0BE62A985F8774340B4CF0CFB294253C04CF880D5F7774340D41F56072C4253C0DCE5B2FBF47743408DEBBCBF2D4253C04366D2E2F2774340EFAC89E92E4253C09D06D61DF1774340C3A4B9842F4253C0C6BB2E22F07743404CC10C4E304253C01543878FEE774340883482DC314253C0BD992A94EB774340136FE140344253C09EC39AB6E5774340A6D2E5E4314253C0B0839A1FE57743400503533C1A4253C05384E1D5D8774340D8B4644D184253C0630E0FC1D7774340AB203349184253C02A902A57DE774340
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,4392,0028012,2001,110010028012001,110010028012001,15685,0,241,230,74,116,0,21,0,19,10,5,0,0,46,48,116,0,21,0,0,9,5,0,0,196,65,90,0,17,0,18,5,2,0,0,36,48,90,0,17,0,0,4,2,0,0,83,81,2,3.87537536,578.0833108619773,15683.087669863822,0.00605527,0103000020E6100000010000001E00000048C32843414253C079A701DDFD774340B1356F2F554253C0844901DDFD774340F18F6F2F554253C086354514F9774340C230043C554253C01B50429CED7743409A94043C554253C02CC31F62E9774340596134844F4253C064545ABAE87743407A934486414253C0BDF9B327E77743401E84ED973B4253C0FECAB590E67743402037D7F8384253C0B869984DE6774340136FE140344253C09EC39AB6E5774340883482DC314253C0BD992A94EB7743404CC10C4E304253C01543878FEE774340C3A4B9842F4253C0C6BB2E22F0774340EFAC89E92E4253C09D06D61DF17743408DEBBCBF2D4253C04366D2E2F2774340D41F56072C4253C0DCE5B2FBF4774340B4CF0CFB294253C04CF880D5F7774340310B6396294253C0BE62A985F8774340E22EE34A294253C0CBA54514F97743405B01DEC8284253C0D30A6E5BFA774340F44BC285284253C091C5242DFB77434089014DD5294253C037A1EAD4FB774340547D7A9E2B4253C09C12778DFC77434063CB0B702D4253C0A779111CFD774340BE07CF452F4253C0562F2089FD774340DB4FB130304253C0835AADAAFD7743402EF4A50A324253C0A4279ED4FD77434081B386F5324253C0A76A02DDFD774340287669333A4253C034743BCCFD77434048C32843414253C079A701DDFD774340
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,4393,0028012,2002,110010028012002,110010028012002,21639,0,748,698,194,178,5,28,0,293,10,6,13,2,480,57,169,2,28,0,1,3,1,7,2,610,155,154,2,19,0,237,8,6,10,2,383,53,147,0,19,0,1,2,1,4,2,262,250,12,5.34660297,763.6799438233224,21636.93454747972,0.00835407,0103000020E6100000010000001F000000417D9651184253C0C3FABB60D6774340D8B4644D184253C0630E0FC1D77743400503533C1A4253C05384E1D5D8774340A6D2E5E4314253C0B0839A1FE5774340136FE140344253C09EC39AB6E57743402037D7F8384253C0B869984DE67743401E84ED973B4253C0FECAB590E67743407A934486414253C0BDF9B327E7774340596134844F4253C064545ABAE8774340ACF775C74E4253C0F8E86DCBE6774340631E8CF14D4253C0C4CD8EB2E4774340D4B940134D4253C057C2AF99E27743404BD5C2304C4253C04B6D3389E07743403CD9E0454B4253C08DE11C81DE774340A2BEADFA484253C005667BFBD97743400A26D385444253C032850D6ED1774340B017889B3F4253C03F1EEA0EC87743407CDEC0AC3C4253C05E19126CC2774340DA21E3FC394253C087B85AEDC7774340A5AECAF4374253C01E8C27F5CB7743404421BAD7354253C0C85B0F40D077434073C1A57F354253C047C9BAA4D0774340BEDF51B6344253C06FF76309D17743409E374449344253C0372F0001D1774340669D2CCC2E4253C06F31ECCACD774340502A48BC284253C06524B951CA77434053D899C9234253C081C42367C777434068D33D591D4253C0DFE8C8D4C37743400CD111621A4253C0E9C8CB0FC2774340C40E9751184253C0F12EE9BBC1774340417D9651184253C0C3FABB60D6774340
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,4396,0028012,2005,110010028012005,110010028012005,12220,0,282,274,131,49,5,7,0,82,2,0,2,0,191,32,47,1,7,0,2,1,0,1,0,239,104,46,5,7,0,69,2,0,2,0,152,32,45,1,7,0,0,1,0,1,0,134,116,18,3.01931063,507.47302873080486,12218.716616182634,0.00471767,0103000020E61000000100000016000000CE72C755184253C0DAF2E208B8774340C60BC855184253C001BF0AA3BF774340C40E9751184253C0F12EE9BBC17743400CD111621A4253C0E9C8CB0FC277434068D33D591D4253C0DFE8C8D4C377434053D899C9234253C081C42367C7774340502A48BC284253C06524B951CA774340669D2CCC2E4253C06F31ECCACD7743409E374449344253C0372F0001D1774340BEDF51B6344253C06FF76309D177434073C1A57F354253C047C9BAA4D07743404421BAD7354253C0C85B0F40D0774340A5AECAF4374253C01E8C27F5CB774340DA21E3FC394253C087B85AEDC77743407CDEC0AC3C4253C05E19126CC27743401971898F3B4253C007283353C0774340AB25E1933A4253C0A1F1A86CBE774340073E0BCF374253C02E0F7E53BE774340A3E09253274253C062922EDBB4774340ABAEA9931F4253C08A518E55B07743402CB5C755184253C06F1D5F45AC774340CE72C755184253C0DAF2E208B8774340
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,4397,0028012,2006,110010028012006,110010028012006,12367,0,590,569,58,416,2,16,0,77,19,12,2,2,126,24,406,0,16,0,4,14,8,1,2,428,52,291,2,13,0,55,14,8,2,1,92,24,285,0,13,0,4,10,5,1,1,341,307,34,3.05564029,530.4405501251576,12365.737525996696,0.00477444,0103000020E610000001000000190000005BAEC755184253C081DDF82DA07743402CB5C755184253C06F1D5F45AC774340ABAEA9931F4253C08A518E55B0774340A3E09253274253C062922EDBB4774340073E0BCF374253C02E0F7E53BE774340AB25E1933A4253C0A1F1A86CBE7743405542B0F8394253C0CF3EAC3EBD774340544617D3384253C026870615BB774340A7133595314253C0089E0641AD774340BF6F57E52E4253C043B92D35A8774340B68985392D4253C0EC1EFDBBA4774340E6A9229A2C4253C0CA1CC79EA37743408E3E5EF22B4253C0ABE78F81A277434079BC66462B4253C05572847DA177434057C2D88D2A4253C087B8DB81A0774340EAF5C185284253C0225BFFD19D77434087DE2682244253C0E6B7427298774340EB1CA386224253C0DB3E9EB1957743401D0B3311224253C0AF5FA01A957743400FA726A4214253C0DBA1DA72947743407277DF47214253C03AF576D393774340DEB3EE86204253C0398A6D389277434090549F831A4253C017540B9991774340C8579651184253C0A3734488917743405BAEC755184253C081DDF82DA0774340
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,4388,0028011,1001,110010028011001,110010028011001,15909,0,234,223,62,104,4,6,0,47,2,2,1,0,70,52,98,4,6,0,2,1,1,0,0,201,59,90,1,6,0,35,2,2,1,0,56,49,85,1,6,0,2,1,1,0,0,105,103,2,3.9307227,613.3236653534168,15907.070416887012,0.00614175,0103000020E6100000010000001A000000AA493349184253C0680C6AD67F7743403901D6151F4253C061FF905A8E774340D0331B09204253C0B0FE19D890774340DEB3EE86204253C0398A6D3892774340CFE7E6D82D4253C08950957F93774340ECB61E5F2E4253C0A1E421A193774340EE0857E52E4253C018223EE4937743402B8B5D672F4253C09E16BD2F947743401993A751344253C01669C22698774340750644333B4253C03B02556D9D77434011CA2C5C424253C0771A2B10A3774340B40F6CCD424253C0201C77A7A1774340ECEE2A8A434253C0B4AB6C759F7743404D40990B484253C03E92186F917743402DD73E04414253C05A6A6CE58B7743400E95DAA83A4253C07C65840387774340DD175EBA354253C02CDF0D2E8377434059E09806314253C01FDCF9607F7743405ED82891304253C02570A52E7F774340E34CB81B304253C0C96C160D7F7743400A2D15A22F4253C05C57EBF37E774340EF0441242F4253C0569A26E37E77434081B4BD4A2A4253C04295B56D7E774340516E495D1E4253C0BFB3C6157D77434016093349184253C09D372A877C774340AA493349184253C0680C6AD67F774340
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,4389,0028011,1002,110010028011002,110010028011002,4866,0,26,26,8,8,0,2,0,8,0,0,0,0,12,7,5,0,2,0,0,0,0,0,0,22,8,7,0,2,0,5,0,0,0,0,9,7,4,0,2,0,0,0,0,0,0,12,12,0,1.20235439,295.4945629834251,4865.755570210284,0.00187868,0103000020E6100000010000000A000000ECEE2A8A434253C0B4AB6C759F774340D38D5377514253C0DAC7473DAA7743401B469EEC524253C05CE8436BAB774340C3FB3540554253C03C4EA338AD7743408DA26744554253C03FF70EB7A977434087F89848554253C0E66A57A89B774340CBD310CB524253C024DA06B199774340363DEDD4484253C08B7CDE16927743404D40990B484253C03E92186F91774340ECEE2A8A434253C0B4AB6C759F774340
['The Family Place PCS'],0.0,0.0,1.0,0.0,1.0,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,4390,0028011,1003,110010028011003,110010028011003,44459,0,1059,1013,527,321,3,49,1,112,20,10,13,1,204,464,316,1,46,0,1,12,8,13,1,962,514,267,3,46,1,90,17,10,13,1,173,456,262,1,43,0,1,11,8,13,1,663,567,96,10.98484746,1010.8021464153155,44454.10048938365,0.01716382,0103000020E6100000010000001F000000BA13FA59184253C015E7CE814B774340DFB4C855184253C0C38056D35B774340F9A99651184253C053C071A66F7743408597644D184253C05769243D727743409841654D184253C08925681A7A77434016093349184253C09D372A877C774340516E495D1E4253C0BFB3C6157D77434081B4BD4A2A4253C04295B56D7E774340EF0441242F4253C0569A26E37E7743400A2D15A22F4253C05C57EBF37E774340E34CB81B304253C0C96C160D7F7743405ED82891304253C02570A52E7F77434059E09806314253C01FDCF9607F774340DD175EBA354253C02CDF0D2E837743400E95DAA83A4253C07C658403877743402DD73E04414253C05A6A6CE58B7743404D40990B484253C03E92186F91774340363DEDD4484253C08B7CDE1692774340CBD310CB524253C024DA06B19977434087F89848554253C0E66A57A89B7743406F9ACA4C554253C00FE2CF2A997743403945FC50554253C0C99C0A9991774340CC1D2F55554253C0A62A8E3C76774340F17010CB524253C09EB1AE23747743408E641C074A4253C003FB2E856D774340EDF8EBA33F4253C0B9A26B5C65774340C5F71930344253C034ED7E835C774340C3A6F314254253C0CB5135AF5077434064CAFBA01A4253C07FA62AC14877434005B02B5E184253C0E43CBAB447774340BA13FA59184253C015E7CE814B774340
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A02,Ward 1,002801,MID-CITY,4394,0028012,2003,110010028012003,110010028012003,11580,0,97,89,61,21,2,5,0,0,1,1,6,0,11,51,21,2,4,0,0,1,1,6,0,92,56,21,2,5,0,0,1,1,6,0,11,46,21,2,4,0,0,1,1,6,0,34,33,1,2.86131917,504.34082312172814,11579.347872783233,0.00447081,0103000020E61000000100000017000000811423DC504253C03205A70AAC7743407C9E52994E4253C0A73143ECB2774340ACDF09F64B4253C00CE5671DBB774340B337575F494253C0FAA42B46C37743406B451EFB454253C078EA2F27CE774340ACBF826C454253C02D4811A9CF7743400A26D385444253C032850D6ED1774340A2BEADFA484253C005667BFBD97743403CD9E0454B4253C08DE11C81DE7743404BD5C2304C4253C04B6D3389E0774340D4B940134D4253C057C2AF99E2774340631E8CF14D4253C0C4CD8EB2E4774340ACF775C74E4253C0F8E86DCBE6774340596134844F4253C064545ABAE87743409A94043C554253C02CC31F62E9774340287BD237554253C0DD51EC16E7774340C0DFD237554253C0030C956CDB7743402499D237554253C03273C6A8D1774340ABA03540554253C0D130AF79BB774340C3FB3540554253C03C4EA338AD7743401B469EEC524253C05CE8436BAB774340D38D5377514253C0DAC7473DAA774340811423DC504253C03205A70AAC774340
