near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,intersectionid,intersection_type,geography,street_names,int_road_types,int_road_block_ids
[None],,,,,,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A01,Ward 1,002502,MID-CITY,16094,REGULAR,0101000020E610000044AB1F4A184253C0361AB56FF2774340,"['14TH STREET NW', 'SPRING ROAD NW']","['Collector', 'Minor Arterial']","['125350', '128830', '130505', '131580']"
[None],,,,,,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A01,Ward 1,002801,MID-CITY,19348,REGULAR,0101000020E61000000F6B4887284253C0F7F6262DFB774340,"['SPRING PLACE NW', 'SPRING ROAD NW']","['Collector', 'Local']","['130505', '133461', '134066']"
[None],,,,,,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A04,Ward 1,002900,MID-CITY,14817,REGULAR,0101000020E610000029B7520DE74153C09F54B16FD8774340,"['13TH STREET NW', 'SPRING ROAD NW']","['Collector', 'Minor Arterial']","['126823', '129476', '134385', '134663']"
"['E.L. Haynes PCS - Middle School', 'Raymond Elementary School']",1.0,0.0,0.0,1.0,1.0,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A07,Ward 1,002900,MID-CITY,15018,REGULAR,0101000020E610000091756744A84153C0612FE9C7B6774340,"['ROCK CREEK CHURCH ROAD NW', 'SPRING ROAD NW']","['Collector', 'Local']","['130150', '132832', '134434', '134651']"
['Raymond Elementary School'],1.0,0.0,0.0,1.0,0.0,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A07,Ward 1,002900,MID-CITY,17619,REGULAR,0101000020E61000003F5273AEBD4153C08A619E9AC2774340,"['10TH STREET NW', 'SPRING ROAD NW']","['Collector', 'Local']","['127458', '129318', '131984', '132832']"
['Raymond Elementary School'],1.0,0.0,0.0,1.0,0.0,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A07,Ward 1,002900,MID-CITY,19385,REGULAR,0101000020E610000033F7E2E3D24153C0BEB584E8CD774340,"['11TH STREET NW', 'SPRING ROAD NW']","['Collector', 'Local']","['126046', '131984', '134385']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,13053,REGULAR,0101000020E6100000E85EF8824F4253C0F5FF44B7E8774340,"['OGDEN STREET NW', 'SPRING PLACE NW']",['Local'],"['126544', '130239', '130625']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,13054,REGULAR,0101000020E61000006278F439554253C0CB3FE05EE9774340,"['16TH STREET NW', 'SPRING PLACE NW']","['Local', 'Principal Arterial']","['127274', '127779', '130239']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,14616,REGULAR,0101000020E610000068225B53184253C02C56A4BCC1774340,"['14TH STREET NW', 'PARKWOOD PLACE NW']","['Local', 'Minor Arterial']","['128724', '128921', '131934']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,16478,REGULAR,0101000020E61000004D63F951184253C008A7C68791774340,"['14TH STREET NW', 'OAK STREET NW']","['Local', 'Minor Arterial']","['126445', '127178', '128311']"
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,16850,REGULAR,0101000020E61000002D13D84E184253C0AC1A2CBED7774340,"['14TH STREET NW', 'PERRY PLACE NW']","['Local', 'Minor Arterial']","['125350', '128921', '130075', '131018']"
