near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,station,stationnumber,y2015,y2016,y2017,y2018,avg_2015_2018,latitude,longitude,geography
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A11,Ward 1,003000,MID-CITY,17,Columbia Heights,75.0,12415.0,11401.0,10812.0,10448.0,11269.0000000000000000,38.92784575977213,-77.03255441274128,0101000020E61000001D841A5F154253C00FFA5CA6C3764340
['Shaw Middle School'],0.0,0.0,0.0,1.0,0.0,1B,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",1B02,Ward 1,004400,MID-CITY,79,U Street/African-Amer Civil War Memorial/Cardozo,73.0,7823.0,6671.0,5373.0,5637.0,6376.0000000000000000,38.917010188905905,-77.02749818592318,0101000020E6100000524FC087C24153C08EB9019760754340
[None],,,,,,2A,Cluster 5,"West End, Foggy Bottom, GWU",2A07,Ward 2,005600,NEAR NORTHWEST,31,Foggy Bottom-GWU,40.0,21462.0,19074.0,17800.0,18299.0,19158.750000000000,38.90070579485911,-77.05028003860762,0101000020E6100000875DC4C9374353C0681ED6534A734340
[None],,,,,,2B,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",2B02,Ward 2,005500,NEAR NORTHWEST,23,Dupont Circle,6.0,20415.0,17672.0,17052.0,16542.0,17920.250000000000,38.909605845128496,-77.04341665765962,0101000020E6100000FB2FA956C74253C0E689DEF66D744340
[None],,,,,,2B,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",2B06,Ward 2,010700,CENTRAL WASHINGTON,27,Farragut North,4.0,25294.0,23659.0,22512.0,22184.0,23412.250000000000,38.90320973300679,-77.03970312341477,0101000020E61000006427F87E8A4253C0B65864609C734340
[None],,,,,,2B,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",2B06,Ward 2,010700,CENTRAL WASHINGTON,28,Farragut West,38.0,22374.0,20039.0,19191.0,20348.0,20488.000000000000,38.90132068000044,-77.04069771136984,0101000020E6100000C1D692CA9A4253C0BAE7DD795E734340
[None],,,,,,2C,Cluster 45,"National Mall, Potomac River",2C01,Ward 2,006202,CENTRAL WASHINGTON,30,Federal Triangle,53.0,8411.0,7622.0,7628.0,7576.0,7809.2500000000000000,38.89318865703335,-77.02813428952891,0101000020E6100000105BC3F3CC4153C0E68E830154724340
[None],,,,,,2C,Cluster 45,"National Mall, Potomac River",2C01,Ward 2,006202,CENTRAL WASHINGTON,70,Smithsonian,54.0,10684.0,9103.0,9212.0,9331.0,9582.5000000000000000,38.888026486337395,-77.02806852638886,0101000020E6100000C6B8EEDFCB4153C0846616DAAA714340
['Girls Global Academy PCS'],0.0,0.0,1.0,0.0,1.0,2C,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2C01,Ward 2,005800,CENTRAL WASHINGTON,36,Gallery Pl-Chinatown,21.0,25820.0,22636.0,22712.0,22613.0,23445.250000000000,38.8983245959912,-77.02191767988135,0101000020E6100000DB926919674153C0C07CE44CFC724340
[None],,,,,,2C,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",2C01,Ward 2,005800,CENTRAL WASHINGTON,51,Metro Center,1.0,27058.0,24372.0,24243.0,24532.0,25051.250000000000,38.898322258385605,-77.02808028961603,0101000020E610000009644511CC4153C07C844839FC724340
