walkscore,bikescore,transitscore,near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,agency_id,incident_id,scrape_datetime,call_received_datetime,call_closed_datetime,fulldisplayaddress,longitude,latitude,incident_type,unit,unit_status_transport,transport_unit_is_amr,transport_unit_is_non_amr,unit_json,num_units_responding,geography,unit_ids,agency_incident_id,crash_objectid,crash_geo,crash_total_injuries,crash_total_major_injuries,crash_total_minor_injuries,crash_total_fatalities,crash_bike_injuries,crash_car_injuries,crash_ped_injuries,injuries_mismatch,distance_to_crash,time_between_crash_and_report,crash_intersection_id,crash_block_objectid,crash_time_rank,distance_to_nearest_block,aadt,totaltravellanes,totalcrosssectionwidth,totalparkinglanes,doubleyellow_line,summarydirection,num_sides_w_sidewalks,sidewalk_width,speed_limit,dcfunctionalclass,nhstype,routename,block_objectid,dcfunctionalclass_desc,distance_to_nearest_intersection,intersectionid,intersection_type,int_road_types,int_road_block_ids,street_names,national_park
4.00,19.00,42.00,[None],,,,,,3F,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3F03,Ward 3,001301,ROCK CREEK WEST,EMS1205,892898177,2021-02-24 18:00:02+00:00,2021-02-24 12:12:34+00:00,2021-02-24 12:38:43+00:00,"MILITARY RD NW & OREGON AVE NW, WASHINGTON, DC",-77.0526830000,38.9616030000,TC,"[{'UnitID': 'A22', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'A28', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E22', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A22', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'A28', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E22', 'PulsePointDispatchStatus': 'DP'}]",3,0101000020E6100000888384285F4353C0245E9ECE157B4340,"['""A22""', '""A28""', '""E22""']",EMS1205892898177,,,,,,,,,,1,,,,,1,0.25802343,,2,21,0,Yes,BD,0,,25.0,19.0,,GLOVER RD NW,127358,Local,0.86562467,19236,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['124978', '125628', '127348', '127358']","['GLOVER ROAD NW', 'MILITARY ROAD NW', 'OREGON AVENUE NW']",0
4.00,19.00,42.00,[None],,,,,,3F,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",3F03,Ward 3,001301,ROCK CREEK WEST,EMS1205,892906329,2021-02-24 18:10:02+00:00,2021-02-24 12:44:01+00:00,2021-02-24 12:59:31+00:00,"MILITARY RD NW & OREGON AVE NW, WASHINGTON, DC",-77.0526830000,38.9616030000,TC,"[{'UnitID': 'A22', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A22', 'PulsePointDispatchStatus': 'DP'}]",1,0101000020E6100000888384285F4353C0245E9ECE157B4340,"['""A22""']",EMS1205892906329,,,,,,,,,,1,,,,,1,0.25802343,,2,21,0,Yes,BD,0,,25.0,19.0,,GLOVER RD NW,127358,Local,0.86562467,19236,REGULAR,"['Collector', 'Local', 'Principal Arterial']","['124978', '125628', '127348', '127358']","['GLOVER ROAD NW', 'MILITARY ROAD NW', 'OREGON AVENUE NW']",0
4.00,47.00,20.00,[None],,,,,,6D,Cluster 45,"National Mall, Potomac River",6D05,Ward 2,006202,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,EMS1205,870064518,2021-01-22 23:00:01+00:00,2021-01-22 18:32:21+00:00,2021-01-22 20:15:49+00:00,"OHIO DR SW, WASHINGTON, DC",-77.0221690000,38.8569420000,TC,"[{'UnitID': 'A16', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A16', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E61000000B7F86376B4153C0CF488446B06D4340,"['""A16""', '""E13""']",EMS1205870064518,,,,,,,,,,1,,,,,1,,,,,,,,0,,,,,,,,,,,,,,1
7.00,28.00,51.00,[None],,,,,,7F,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",7F04,Ward 7,009901,FAR NORTHEAST AND SOUTHEAST,EMS1205,857092506,2021-01-03 19:10:02+00:00,2021-01-03 12:33:52+00:00,2021-01-03 14:13:04+00:00,"FORT DUPONT DR SE, WASHINGTON, DC",-76.9503580000,38.8766340000,TCE,"[{'UnitID': 'A19B', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-03T13:17:44Z'}, {'UnitID': 'BC3', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-03T12:42:21Z'}, {'UnitID': 'E19', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-03T13:03:57Z'}, {'UnitID': 'EMS2', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-03T12:45:39Z'}, {'UnitID': 'M19', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-03T14:13:04Z'}, {'UnitID': 'R3', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-03T12:44:27Z'}, {'UnitID': 'T17', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-03T12:43:49Z'}]",1,0,1,"[{'UnitID': 'A19B', 'UnitClearedDateTime': '2021-01-03T13:17:44Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'BC3', 'UnitClearedDateTime': '2021-01-03T12:42:21Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E19', 'UnitClearedDateTime': '2021-01-03T13:03:57Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'EMS2', 'UnitClearedDateTime': '2021-01-03T12:45:39Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'M19', 'UnitClearedDateTime': '2021-01-03T14:13:04Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'R3', 'UnitClearedDateTime': '2021-01-03T12:44:27Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'T17', 'UnitClearedDateTime': '2021-01-03T12:43:49Z', 'PulsePointDispatchStatus': 'AR'}]",7,0101000020E61000007C5F5CAAD23C53C0E547FC8A35704340,"['""A19B""', '""BC3""', '""E19""', '""EMS2""', '""M19""', '""R3""', '""T17""']",EMS1205857092506,,,,,,,,,,1,,,,,1,74.40922311,,2,24,0,Yes,BD,0,,25.0,19.0,,FORT DUPONT DR SE,136040,Local,,,,,,,1
7.00,45.00,48.00,[None],,,,,,7E,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",7E02,Ward 7,009902,FAR NORTHEAST AND SOUTHEAST,EMS1205,896297001,2021-03-01 15:20:01+00:00,2021-03-01 05:19:18+00:00,2021-03-01 05:36:20+00:00,"RIDGE RD SE & TEXAS AVE SE, WASHINGTON, DC",-76.9457720000,38.8808690000,TC,"[{'UnitID': 'A30B', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'E30', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A30B', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'E30', 'PulsePointDispatchStatus': 'DP'}]",2,0101000020E61000003E5E4887873C53C0B587BD50C0704340,"['""A30B""', '""E30""']",EMS1205896297001,,,,,,,,,,1,,,,,1,0.13084825,12254.0,2,45,2,Yes,BD,1,6,25.0,16.0,,RIDGE RD SE,135799,Minor Arterial,0.93445155,15135,REGULAR,"['Collector', 'Local', 'Minor Arterial']","['124465', '135799', '136433', '136525']","['FORT DAVIS DRIVE SE', 'RIDGE ROAD SE', 'TEXAS AVENUE SE']",0
7.00,45.00,48.00,[None],,,,,,7E,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",7E02,Ward 7,009902,FAR NORTHEAST AND SOUTHEAST,EMS1205,899098155,2021-03-05 10:50:02+00:00,2021-03-05 02:07:56+00:00,2021-03-05 02:25:12+00:00,"RIDGE RD SE & FORT DAVIS DR SE, WASHINGTON, DC",-76.9457720000,38.8808690000,TCE,"[{'UnitID': 'A30', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'BC2', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-03-05T02:13:41Z'}, {'UnitID': 'E30', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'EMS2', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-03-05T02:13:32Z'}, {'UnitID': 'M27', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-03-05T02:14:16Z'}, {'UnitID': 'R3', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-03-05T02:14:16Z'}, {'UnitID': 'T17', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-03-05T02:15:26Z'}]",0,0,0,"[{'UnitID': 'A30', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'BC2', 'UnitClearedDateTime': '2021-03-05T02:13:41Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E30', 'PulsePointDispatchStatus': 'OS'}, {'UnitID': 'EMS2', 'UnitClearedDateTime': '2021-03-05T02:13:32Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'M27', 'UnitClearedDateTime': '2021-03-05T02:14:16Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'R3', 'UnitClearedDateTime': '2021-03-05T02:14:16Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'T17', 'UnitClearedDateTime': '2021-03-05T02:15:26Z', 'PulsePointDispatchStatus': 'AR'}]",7,0101000020E61000003E5E4887873C53C0B587BD50C0704340,"['""A30""', '""BC2""', '""E30""', '""EMS2""', '""M27""', '""R3""', '""T17""']",EMS1205899098155,,,,,,,,,,1,,,,,1,0.13084825,12254.0,2,45,2,Yes,BD,1,6,25.0,16.0,,RIDGE RD SE,135799,Minor Arterial,0.93445155,15135,REGULAR,"['Collector', 'Local', 'Minor Arterial']","['124465', '135799', '136433', '136525']","['FORT DAVIS DRIVE SE', 'RIDGE ROAD SE', 'TEXAS AVENUE SE']",0
8.00,55.00,27.00,[None],,,,,,2A,Cluster 45,"National Mall, Potomac River",2A01,Ward 2,006202,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,EMS1205,846752221,2020-12-21 01:50:01+00:00,2020-12-20 20:04:18+00:00,2020-12-20 20:31:17+00:00,"14TH ST SW, WASHINGTON, DC",-77.0397780000,38.8756810000,TC,"[{'UnitID': 'A13', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-20T20:24:04Z'}, {'UnitID': 'BC6', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-20T20:16:30Z'}, {'UnitID': 'E07', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-20T20:15:56Z'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-20T20:31:17Z'}, {'UnitID': 'T10', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-20T20:20:15Z'}]",0,0,0,"[{'UnitID': 'A13', 'UnitClearedDateTime': '2020-12-20T20:24:04Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'BC6', 'UnitClearedDateTime': '2020-12-20T20:16:30Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E07', 'UnitClearedDateTime': '2020-12-20T20:15:56Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E13', 'UnitClearedDateTime': '2020-12-20T20:31:17Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'T10', 'UnitClearedDateTime': '2020-12-20T20:20:15Z', 'PulsePointDispatchStatus': 'AR'}]",5,0101000020E61000006B4606B98B4253C0425DA45016704340,"['""A13""', '""BC6""', '""E07""', '""E13""', '""T10""']",EMS1205846752221,197349901,0101000020E610000000CCB2998B4253C0AB20578A15704340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2.70313236,0 days 04:42:54.000000000,,124784,1,2.0938116,249207.0,4,63,0,,IB,0,,20.0,11.0,NHS Interstate,14TH ST SW,124784,Interstate,,,,,,,0
8.00,55.00,27.00,[None],,,,,,2A,Cluster 45,"National Mall, Potomac River",2A01,Ward 2,006202,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,EMS1205,854594425,2020-12-31 02:10:02+00:00,2020-12-30 21:06:47+00:00,2020-12-30 21:37:31+00:00,"14TH ST SW, WASHINGTON, DC",-77.0397780000,38.8756810000,TC,"[{'UnitID': 'A16', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-30T21:37:31Z'}, {'UnitID': 'BC2', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-30T21:14:48Z'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-30T21:32:14Z'}, {'UnitID': 'E16', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-30T21:09:21Z'}, {'UnitID': 'TW3', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2020-12-30T21:09:36Z'}]",0,0,0,"[{'UnitID': 'A16', 'UnitClearedDateTime': '2020-12-30T21:37:31Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'BC2', 'UnitClearedDateTime': '2020-12-30T21:14:48Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E13', 'UnitClearedDateTime': '2020-12-30T21:32:14Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E16', 'UnitClearedDateTime': '2020-12-30T21:09:21Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'TW3', 'UnitClearedDateTime': '2020-12-30T21:09:36Z', 'PulsePointDispatchStatus': 'AR'}]",5,0101000020E61000006B4606B98B4253C0425DA45016704340,"['""A16""', '""BC2""', '""E13""', '""E16""', '""TW3""']",EMS1205854594425,197353029,0101000020E6100000172184578B4253C02150251416704340,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2.17044471,0 days 04:58:56.000000000,,124784,1,2.0938116,249207.0,4,63,0,,IB,0,,20.0,11.0,NHS Interstate,14TH ST SW,124784,Interstate,,,,,,,0
8.00,55.00,27.00,[None],,,,,,2A,Cluster 45,"National Mall, Potomac River",2A01,Ward 2,006202,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,EMS1205,864039801,2021-01-14 01:10:02+00:00,2021-01-13 20:50:20+00:00,2021-01-13 21:03:29+00:00,"14TH ST SW, WASHINGTON, DC",-77.0397780000,38.8756810000,TC,"[{'UnitID': 'A16', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'BC6', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E23', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'TW3', 'PulsePointDispatchStatus': 'DP'}]",0,0,0,"[{'UnitID': 'A16', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'BC6', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'E23', 'PulsePointDispatchStatus': 'DP'}, {'UnitID': 'TW3', 'PulsePointDispatchStatus': 'DP'}]",5,0101000020E61000006B4606B98B4253C0425DA45016704340,"['""A16""', '""BC6""', '""E13""', '""E23""', '""TW3""']",EMS1205864039801,,,,,,,,,,1,,,,,1,2.0938116,249207.0,4,63,0,,IB,0,,20.0,11.0,NHS Interstate,14TH ST SW,124784,Interstate,,,,,,,0
8.00,55.00,27.00,[None],,,,,,2A,Cluster 45,"National Mall, Potomac River",2A01,Ward 2,006202,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,EMS1205,865038498,2021-01-15 16:20:02+00:00,2021-01-15 06:03:41+00:00,2021-01-15 06:18:46+00:00,"14TH ST SW, WASHINGTON, DC",-77.0397780000,38.8756810000,TC,"[{'UnitID': 'A23', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'BC6', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-15T06:15:35Z'}, {'UnitID': 'E13', 'PulsePointDispatchStatus': 'AR', 'UnitClearedDateTime': '2021-01-15T06:14:47Z'}, {'UnitID': 'E16', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'T10', 'PulsePointDispatchStatus': 'ER'}]",0,0,0,"[{'UnitID': 'A23', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'BC6', 'UnitClearedDateTime': '2021-01-15T06:15:35Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E13', 'UnitClearedDateTime': '2021-01-15T06:14:47Z', 'PulsePointDispatchStatus': 'AR'}, {'UnitID': 'E16', 'PulsePointDispatchStatus': 'ER'}, {'UnitID': 'T10', 'PulsePointDispatchStatus': 'ER'}]",5,0101000020E61000006B4606B98B4253C0425DA45016704340,"['""A23""', '""BC6""', '""E13""', '""E16""', '""T10""']",EMS1205865038498,,,,,,,,,,1,,,,,1,2.0938116,249207.0,4,63,0,,IB,0,,20.0,11.0,NHS Interstate,14TH ST SW,124784,Interstate,,,,,,,0
