near_schools,es,ms,hs,public_school,charter_school,anc_id,nbh_cluster,nbh_cluster_names,smd_id,ward_name,census_tract,comp_plan_area,objectid,routeid,frommeasure,tomeasure,routename,roadtype,blockkey,totaltravellanes,totalparkinglanes,totalraisedbuffers,totaltravellanewidth,totalcrosssectionwidth,totalparkinglanewidth,totalraisedbufferwidth,totaltravellanesinbound,totaltravellanesoutbound,totaltravellanesbidirectional,totaltravellanesreversible,summarydirection,bikelane_parkinglane_adjacent,bikelane_throughlane_adjacent,bikelane_pocketlane_adjacent,bikelane_contraflow,bikelane_conventional,bikelane_dual_protected,bieklane_dual_buffered,bikelane_protected,bikelane_buffered,doubleyellow_line,sectionflags,loc_error,midmeasure,aadt,aadt_year,fhwafunctionalclass,hpmsid,hpmssectiontype,id,iri,iri_date,nhscode,ownership,pci_condcategory,pci_lastinspected,pci_score,quadrant,sidewalk_ib_pavtype,sidewalk_ib_width,sidewalk_ob_pavtype,sidewalk_ob_width,speedlimits_ib,speedlimits_ib_alt,speedlimits_ob,speedlimits_ob_alt,streetname,streettype,block_name,address_range_high,address_range_low,address_range_right_high,address_range_left_high,address_range_right_low,mar_id,address_range_left_low,blockid,dcfunctionalclass,nhstype,snowroute_ddot,snowroute_dpw,snowsection_ddot,snowzone_ddot,snowzone_dpw,leftturn_curblane_excl,leftturn_curblane_excl_len,rightturn_curblane_excl,rightturn_curblane_excl_len,totalbikelanes,totalbikelanewidth,rppdirection,rppside,slowstreetinfo,shapelen,shape,geography,num_sides_w_sidewalks,sidewalk_width,speed_limit,dcfunctionalclass_desc
[None],,,,,,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A01,Ward 1,002502,MID-CITY,130505,11081832,690.78747559,781.69439697,SPRING RD NW,1,ab39d18d08c734904495e84aa4839c6b,2,2,0,16,32,16,0,1,1,0,0,BD,,,,,,,,,,,"SectionType_19 Not Defined, ",NO ERROR,,2899.0,2019.0,5.0,1818317A,2.0,231b043e-00c5-4a8c-bbeb-6b01606293f2,6.0,2017-08-01 00:00:00+00:00,,1,Very Poor,2020-01-06 00:00:00+00:00,40.0,1,3 (JPCP),6,3 (JPCP),6,20.0,,25.0,,SPRING,RD,1400  - 1413 BLOCK OF SPRING ROAD NW,1413.0,1400.0,1413.0,1412.0,1401.0,815028.0,1400.0,11081832-11001402_11081832-11081772_11081832,17.0,,,LP-910,,,9,,0,,0,0,0,,O,,0,,0102000020E61000000800000044AB1F4A184253C0361AB56FF27743400A0D39531A4253C0F2956A9BF3774340CB0D817F1F4253C03EE02395F677434020783DC9204253C01D737D40F777434069B62A40224253C091503D03F87743408A2CFC67254253C01929EEA6F977434087B7B131274253C019885886FA7743400F6B4887284253C0F7F6262DFB774340,2,6,20.0,Collector
[None],,,,,,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A01,Ward 1,002801,MID-CITY,134066,11081832,781.69439697,1018.96472168,SPRING RD NW,1,8038b557c88c988b6aba9d5c953f57f1,1,2,0,16,32,16,0,0,1,0,0,OB,,,,,,,,,,,"SectionType_19 Not Defined, ",NO ERROR,,6500.0,2019.0,5.0,1818317B,2.0,1565ca60-f268-44f3-bc0a-c99867769273,483.0,2017-08-01 00:00:00+00:00,,1,Very Poor,2020-01-06 00:00:00+00:00,33.0,1,3 (JPCP),6,3 (JPCP),6,,,25.0,,SPRING,RD,1414  - 1599 BLOCK OF SPRING ROAD NW,1599.0,1414.0,1599.0,1598.0,1415.0,803913.0,1414.0,11081832-11081772_11081832-11001602_11081832,17.0,,,LP-910,,,9,,0,,0,0,0,,V,,0,,0102000020E6100000150000000F6B4887284253C0F7F6262DFB774340F86A21D5294253C07C9DF0D0FB774340BF75FBB92A4253C0146D0B33FC7743404760FAE62A4253C031246644FC7743407B9ECC9F2B4253C08C2A538BFC774340D48A8C872C4253C0403D06D9FC774340C36CBF702D4253C0E32AE61CFD7743405F916D5A2E4253C03318F356FD774340479E8E452F4253C06D6C6B86FD77434068C5A631304253C072AD10ACFD774340F747BE1D314253C0A28C21C7FD77434036FE500A324253C061F79DD7FD77434041F35EF7324253C0366147DEFD774340402140343A4253C0C80256D0FD774340B0DC3D41414253C093E796DAFD774340D9030BDA484253C021382ADAFD7743405E86D7084A4253C04C8C5BDAFD7743407DF66DAE4F4253C078945BDBFD774340DCD06D6B524253C0EDE0ADDBFD774340CF823325534253C09FC951DCFD774340CAF13B2E554253C0F8A381DDFD774340,2,6,25.0,Collector
[None],,,,,,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A04,Ward 1,002502,MID-CITY,133708,11081832,443.35101318,520.28881836,SPRING RD NW,1,67cebe0cd7e062f0283c9f2d3a31d124,2,2,0,16,32,16,0,1,1,0,0,BD,,,,,,,,,,,"SectionType_19 Not Defined, ",NO ERROR,,2899.0,2019.0,5.0,1818317A,2.0,4d37c2b5-9e33-4d71-8669-cf01398c64fc,8.0,2017-08-01 00:00:00+00:00,,1,Poor,2020-01-06 00:00:00+00:00,48.0,1,3 (JPCP),6,3 (JPCP),6,25.0,,20.0,15.0,SPRING,RD,1301  - 1334 BLOCK OF SPRING ROAD NW,1334.0,1301.0,1323.0,1334.0,1301.0,813567.0,1310.0,11081832-11051352_11081832-11046152_11081832,17.0,,,LP-910,,,9,,0,,0,0,0,,V,,0,,0102000020E610000006000000F6A3BBF8EB4153C06DEF4929DB774340196D7177ED4153C06F03AEFCDB774340BDCF246EEF4153C04B424313DD7743408C03B8ABF24153C0682326D0DE7743404D2651F1F74153C02974E7A3E1774340CCF42EB6F94153C00D583C96E2774340,2,6,25.0,Collector
['Raymond Elementary School'],0.0,0.0,0.0,1.0,0.0,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",1A07,Ward 1,002502,MID-CITY,134385,11081832,303.23080444,415.72961426,SPRING RD NW,1,4228626e2e7820f6329a576295dc7392,2,2,0,16,32,16,0,1,1,0,0,BD,,,,,,,,,,,"SectionType_19 Not Defined, ",NO ERROR,,2899.0,2019.0,5.0,1818317A,2.0,f4350adc-d70a-46f8-a40f-61561c27526f,7.0,2017-08-01 00:00:00+00:00,,1,Good,2020-01-06 00:00:00+00:00,84.0,1,3 (JPCP),6,3 (JPCP),6,25.0,,20.0,15.0,SPRING,RD,1100  - 1299 BLOCK OF SPRING ROAD NW,1299.0,1100.0,1299.0,1298.0,1101.0,806048.0,1100.0,11081832-11001102_11081832-11001302_11081832,17.0,,,LP-910,,,9,,0,,0,0,0,,V,,0,,0102000020E61000000700000033F7E2E3D24153C0BEB584E8CD7743405C2CD301D44153C05D9EFA7ACE77434088CE8BCCD44153C08E9329E3CE77434025191DEFDD4153C070F1E9CAD37743407D25809EDE4153C0ADF30E29D47743400D2347F4E44153C02D7AEC5FD777434029B7520DE74153C09F54B16FD8774340,2,6,25.0,Collector
[None],,,,,,1A,Cluster 18,"Brightwood Park, Crestwood, Petworth",4C08,Ward 4,003200,MID-CITY,131669,11076702,1516.0958252,1664.4432373,ROCK CREEK CHURCH RD NW,1,5532b2dfc56afdca0684b67f5084d4a5,2,2,0,20,36,16,0,1,1,0,0,BD,,,,,,,,,,,"SectionType_19 Not Defined, ",NO ERROR,,4304.0,2019.0,5.0,1767017A,2.0,94f9a096-74cc-48a3-a0af-ffe6a5ec861a,8.0,2017-08-01 00:00:00+00:00,,1,Very Poor,2019-08-08 00:00:00+00:00,38.0,1,3 (JPCP),6,3 (JPCP),6,25.0,,25.0,,ROCK CREEK CHURCH,RD,513  - 699 BLOCK OF ROCK CREEK CHURCH ROAD NW,699.0,513.0,699.0,698.0,513.0,801747.0,600.0,11076702-11068832A_11076702-11000702_11076702_11090872,17.0,,,LP-1003,,,10,,0,,0,0,0,,O,,0,,0102000020E61000000D0000008AB1F08D424153C0DEC7980CF87743406C6861BC424153C0207BB0F9F7774340D9F3A33A434153C07AAA48C9F77743404B52DEB9434153C05C02A89CF77743402297C3DA434153C03DD61092F7774340F6CA1839444153C074240D73F7774340E93DCFB8444153C0B379394DF7774340A79BDD2C4C4153C00855FE65F577434025B1C4A7504153C0629C1241F4774340239DDA31544153C0B0318A5CF37743406BE9E90A5C4153C06FAB8461F1774340630F94415C4153C02718A151F1774340AF1C6E315E4153C03CF6DEC1F0774340,2,6,25.0,Collector
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,125350,11001402,5115.20703125,5205.63720703,14TH ST NW,1,d9785e0b998dab97346d148e496c71ab,2,2,0,22,49,16,0,1,1,0,0,BD,BD,BD,,,BD,,,,,Yes,"SectionType_19 Not Defined, ",NO ERROR,,12833.0,2019.0,4.0,4316B,1.0,31918dd4-847c-4c84-b869-59a17d868ca2,7.0,2017-08-01 00:00:00+00:00,,1,Excellent,2019-09-01 00:00:00+00:00,100.0,1,3 (JPCP),16+,3 (JPCP),12,25.0,,25.0,,14TH,ST,3600 - 3699 BLOCK OF 14TH STREET NW,3699.0,3600.0,3699.0,3698.0,3601.0,805862.0,3600.0,11001402-11001402_11069872-11001402_11081832,16.0,,,HP-14,,,4,,0,,0,2,10,,AO,,0,,0102000020E6100000050000002D13D84E184253C0AC1A2CBED7774340ED1F954C184253C04E31916BDA7743400428E949184253C0B8E35D59DE77434050C9A44A184253C0B77F13D2EA77434044AB1F4A184253C0361AB56FF2774340,2,16+,25.0,Minor Arterial
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,126202,11067992,1082.97631836,1275.09375,OTIS PL NW,1,fe74975432731eea25d7af070938022f,1,2,0,8,24,16,0,1,0,0,0,IB,,,,,,,,,,,"SectionType_19 Not Defined, ",NO ERROR,,,2019.0,7.0,XXXXXXX,3.0,63027b2a-6a29-43b5-a2de-e68de1267b04,,1970-01-01 00:00:00+00:00,,1,Good,2019-07-09 00:00:00+00:00,81.0,1,3 (JPCP),6,3 (JPCP),6,20.0,,,,OTIS,PL,1400 - 1499 BLOCK OF OTIS PLACE NW,1499.0,1400.0,1499.0,1498.0,1401.0,800355.0,1400.0,11067992-11001402_11067992*1-11021512_11066692_11067992,19.0,,,LP-402,,,4,,0,,0,0,0,3,B,,0,,0102000020E61000000700000023708354184253C0C2002846AC7743401C228F8B1A4253C056A47C85AD774340597082931F4253C0249E7259B077434021A66ED5244253C0A0B3FD68B377434056A94052274253C0693ABCDBB4774340005240CE374253C023477651BE774340B97EB8943A4253C0C391576FBE774340,2,6,20.0,Local
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,126445,11066042,161.44250488,204.93370056,OAK ST NW,1,895b62098243590a832c160538f817fc,1,2,0,8,24,16,0,0,1,0,0,OB,,,,,,,,,,,"SectionType_19 Not Defined, ",NO ERROR,,,2019.0,7.0,XXXXXXX,3.0,1e73dcf2-4d35-4748-82bd-41fafd82dece,,1970-01-01 00:00:00+00:00,,1,Poor,2019-07-09 00:00:00+00:00,41.0,1,3 (JPCP),6,3 (JPCP),6,,,20.0,,OAK,ST,1400 - 1408 BLOCK OF OAK STREET NW,1408.0,1400.0,1401.0,1408.0,1401.0,807231.0,1400.0,11066042-11001402_11066042-11066042_11066692,19.0,,,LP-402,,,4,,0,,0,0,0,3,B,,0,,0102000020E6100000040000004D63F951184253C008A7C6879177434013469F831A4253C0EAE2159891774340D2097EC71E4253C0655F1008927743400F187F86204253C036F5E73592774340,2,6,20.0,Local
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,127178,11001402,4877.34667969,4926.92675781,14TH ST NW,1,93f0ec15a1ba7962b9d16e3118e43bb2,2,2,0,22,49,16,0,1,1,0,0,BD,BD,BD,,,BD,,,,,Yes,"SectionType_19 Not Defined, ",NO ERROR,,12833.0,2019.0,4.0,4316B,1.0,734a2383-8924-4ada-ae6c-585dde8cc795,6.0,2017-08-01 00:00:00+00:00,,1,Good,2019-08-13 00:00:00+00:00,74.0,1,3 (JPCP),16+,3 (JPCP),12,25.0,,25.0,,14TH,ST,3467 - 3499 BLOCK OF 14TH STREET NW,3499.0,3467.0,3499.0,3498.0,3467.0,807870.0,3480.0,11001402-11001402_11066042-11001402_11067992,16.0,,,HP-14,,,4,,0,,0,2,10,3,B,,0,,0102000020E6100000050000004D63F951184253C008A7C68791774340D3C59553184253C09021FE3E9477434009ED9853184253C00F36A57494774340E82D2154184253C04E6A0B839D774340EA1A4954184253C0FE99642AA0774340,2,16+,25.0,Minor Arterial
[None],,,,,,1A,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",1A01,Ward 1,002801,MID-CITY,128921,11001402,5040.65673828,5115.20703125,14TH ST NW,1,6f6148be1b61a9404b22e78f6184d0b9,2,2,0,22,49,16,0,1,1,0,0,BD,BD,BD,,,BD,,,,,Yes,"SectionType_19 Not Defined, ",NO ERROR,,12833.0,2019.0,4.0,4316B,1.0,ef57d5cf-5b1f-479c-9dd9-d1a69dfd4ea7,7.0,2017-08-01 00:00:00+00:00,,1,Fair,2019-08-13 00:00:00+00:00,68.0,1,3 (JPCP),13,3 (JPCP),12,25.0,,25.0,,14TH,ST,3523 - 3599 BLOCK OF 14TH STREET NW,3599.0,3523.0,3599.0,3598.0,3523.0,808987.0,3548.0,11001402-11001402_11069292*1-11001402_11069872,16.0,,,HP-14,,,4,,0,,0,2,10,3,B,,0,,0102000020E61000000500000068225B53184253C02C56A4BCC177434023A40253184253C0C8052816C477434065721E50184253C04F75A7BDD47743409D78BB4F184253C03383D464D67743402D13D84E184253C0AC1A2CBED7774340,2,13,25.0,Minor Arterial
