objectid,fromdate,geography,latitude,longitude,address,ward_name,nbh_cluster_names,comp_plan_area,crash_type,crash_on_interstate,scanner_audio_missing,scanner_audio,crash_category,national_park,boundary_street
198357767,2021-02-24,0101000020E61000004F954F85E54253C0542DD9ACF37A4340,38.960639,-77.04529,BEACH DR & MILITARY RD,Ward 4,Rock Creek Park,ROCK CREEK WEST,Cars Only,0,,,MPD Only,0,0
198356024,2021-02-11,0101000020E6100000712B1B629A4353C026597E72147A4340,38.953826,-77.05643,2801 DAVENPORT STREET NW,Ward 3,"North Cleveland Park, Forest Hills, Van Ness",ROCK CREEK WEST,Cars Only,0,,,MPD Only,0,0
198357797,2021-02-21,0101000020E610000075458B03674253C0C51921CF61704340,38.87798,-77.03754,14TH STREET SW,Ward 2,"National Mall, Potomac River",LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,Cars Only,1,,,MPD Only,0,0
198351641,2021-02-05,0101000020E61000005D746580384053C02F4276522B6E4340,38.860575,-77.003529,SOUTH CAPITOL STREET & FIRTH STERLING AVENUE SE,Ward 8,Joint Base Anacostia-Bolling,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,Cars Only,0,,,MPD Only,0,0
198361706,2021-02-17,0101000020E61000005D746580384053C02F4276522B6E4340,38.86069,-77.003446,SOUTH CAPITOL STREET & FIRTH STERLING AVENUE SE,Ward 8,Joint Base Anacostia-Bolling,LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,Cars Only,0,,,MPD and DCFEMS,0,0
198359342,2021-02-25,0101000020E61000000C69B424B44053C0266976FC1A694340,38.821132,-77.010932,4680 MARTIN LUTHER KING JR AVENUE SW,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,Cars Only,0,,,MPD and DCFEMS,0,0
198357649,2021-02-21,0101000020E61000000FE053E9473D53C0534CB79E30704340,38.876437,-76.957538,34TH STREET SE & MASSACHUSSETTS AVENUE SE,Ward 7,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",FAR NORTHEAST AND SOUTHEAST,Cars Only,0,,,MPD and DCFEMS,0,0
198351829,2021-02-04,0101000020E61000002DE2C4EE4B3D53C0A3DBE7735F754340,38.916854,-76.957706,3500 NEW YORK AVE NE,Ward 5,"Woodridge, Fort Lincoln, Gateway",UPPER NORTHEAST,Cars Only,1,,,MPD Only,0,0
198353581,2021-02-10,0101000020E61000000EEA76FD664353C0B345A298917C4340,38.973213,-77.053424,6310 OREGON AVENUE NW,Ward 4,"Hawthorne, Barnaby Woods, Chevy Chase",ROCK CREEK WEST,Cars Only,0,,,MPD and DCFEMS,0,0
198350157,2021-02-03,0101000020E6100000EBEA9990D93B53C08144393CA9744340,38.91143,-76.935194,1600 KENILWORTH AVENUE NE,Ward 7,"Eastland Gardens, Kenilworth",FAR NORTHEAST AND SOUTHEAST,Cars Only,0,,,MPD Only,0,0
198354593,2021-02-11,0101000020E6100000E9792113434253C069ED331D82704340,38.878895,-77.035334,INTERSTATE 395 INTERSTATE BN,Ward 2,"National Mall, Potomac River",LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,Cars Only,1,,,MPD Only,0,0
198351921,2021-02-05,0101000020E61000001840C25B7E4353C073BB27733D7B4340,,,2607 MILITARY ROAD NW,Ward 4,"Hawthorne, Barnaby Woods, Chevy Chase",ROCK CREEK WEST,Cars Only,0,,,MPD Only,0,0
198360398,2021-02-28,0101000020E6100000CDAC3824123E53C0096B7D2A62704340,38.877988,-76.969855,1900 ANACOSTIA DRIVE SE,Ward 7,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",FAR NORTHEAST AND SOUTHEAST,Cars Only,0,,,MPD Only,0,0
198356091,2021-02-17,0101000020E6100000B6DBEF30294153C027CA9D3174684340,38.81587,-77.018391,SHEPHERD PARKWAY SW & BLUE PLAINS DRIVE SW,Ward 8,Joint Base Anacostia-Bolling,FAR SOUTHEAST AND SOUTHWEST,Cars Only,0,,,MPD Only,0,0
