objectid,fromdate,geography,latitude,longitude,address,ward_name,nbh_cluster_names,comp_plan_area,total_injuries,total_vehicles,total_bicyclists,total_pedestrians,crash_on_arterial,crash_on_interstate,crash_category,national_park
192712995,2021-01-04,0101000020E61000005279B70BE93F53C0F8146218046C4340,38.843552,-76.997777,3100 MARTIN LUTHER KING JR AVENUE SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192713120,2021-01-30,0101000020E6100000205D9797E63F53C026F3A3A9CA6B4340,38.842114,-76.998447,3223 6TH STREET SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,0,0,MPD Only,0
192956173,2021-01-12,0101000020E6100000092691EBF43F53C0C3564BE5E96B4340,38.842864,-76.999513,501 ALABAMA AVENUE SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192956167,2021-01-26,0101000020E61000009E1B019D7A3F53C085DAB3F0E16A4340,38.834964,-76.991307,4000 WHEELER ROAD SE,Ward 8,"Congress Heights, Bellevue, Washington Highlands",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192956316,2021-01-15,0101000020E6100000F3298113404153C08C965AB18C704340,38.879694,-77.019903,501 I STREET SW,Ward 6,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",LOWER ANACOSTIA WATERFRONT AND NEAR SOUTHWEST,0,2.0,0.0,0.0,1,0,MPD Only,0
192712462,2021-01-07,0101000020E610000054990457194253C001D8CFC437764340,38.923569,-77.032794,1421 EUCLID STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,2.0,0.0,0.0,0,0,MPD Only,0
192712130,2021-01-05,0101000020E61000003241CF06F64153C0E2B64C955E764340,38.924508,-77.029711,1300 FAIRMONT STREET NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,2.0,0.0,0.0,0,0,MPD Only,0
192713376,2021-01-31,0101000020E61000007B073C51593E53C087650193C96C4340,38.849912,-76.974199,3303 22ND STREET SE,Ward 8,"Douglas, Shipley Terrace",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,0,0,MPD Only,0
192952807,2021-01-28,0101000020E6100000375520CA493E53C02AA25781966C4340,38.848336,-76.973252,2112 RIDGECREST COURT SE,Ward 8,"Douglas, Shipley Terrace",FAR SOUTHEAST AND SOUTHWEST,0,2.0,0.0,0.0,0,0,MPD Only,0
192955537,2021-01-22,0101000020E6100000DFD24C5C6A3E53C0E29056C757724340,38.893569,-76.976221,2000 C STREET NE,Ward 7,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,0,2.0,0.0,0.0,1,0,MPD and DCFEMS,0
192955479,2021-01-27,0101000020E6100000C1121926793E53C0A3005DF7026C4340,38.843901,-76.975354,1901 MISSISSIPPI AVENUE SE,Ward 8,"Douglas, Shipley Terrace",FAR SOUTHEAST AND SOUTHWEST,0,1.0,0.0,0.0,0,0,MPD and DCFEMS,0
192712726,2021-01-07,0101000020E6100000725455BE103C53C0E77B876B75704340,38.878576,-76.93852,4554 ALABAMA AVE SE,Ward 7,"Capitol View, Marshall Heights, Benning Heights",FAR NORTHEAST AND SOUTHEAST,0,1.0,0.0,0.0,0,0,MPD Only,0
192956014,2021-01-25,0101000020E61000002882B868F43B53C00E39EA7A59704340,38.877727,-76.936792,1116 44TH PLACE SE,Ward 7,"Capitol View, Marshall Heights, Benning Heights",FAR NORTHEAST AND SOUTHEAST,0,2.0,0.0,0.0,0,0,MPD Only,0
192713414,2021-01-29,0101000020E6100000BD2B4FCB8A4153C0DADB9DE46B724340,38.895172,-77.023977,900 PENNSYLVANIA AVENUE NW,Ward 2,"National Mall, Potomac River",CENTRAL WASHINGTON,1,2.0,0.0,0.0,1,0,MPD Only,0
192956578,2021-01-02,0101000020E610000084E12CCD884153C0BC0B89F088724340,38.894117,-77.024832,950 PENNSYLVANIA AVENUE NW,Ward 2,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",CENTRAL WASHINGTON,0,2.0,0.0,0.0,1,0,MPD and DCFEMS,0
192955482,2021-01-27,0101000020E61000006BB3D3D2A14153C011A9461E42764340,38.923912,-77.025503,EUCLID STREET NW & SHERMAN AVENUE NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,2.0,0.0,0.0,1,0,MPD Only,0
192712733,2021-01-07,0101000020E61000004418D1646D4153C0E8CB3BC118764340,38.922728,-77.022315,2500 GEORGIA AVENUE NW,Ward 1,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",MID-CITY,0,2.0,0.0,0.0,1,0,MPD Only,0
192956090,2021-01-19,0101000020E610000049EABA90483E53C0E43C798BC76F4340,38.873719,-76.972833,295 NORTHBOUND/ PENNSYLVANIA AVE,Ward 8,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",FAR NORTHEAST AND SOUTHEAST,0,3.0,0.0,0.0,0,0,MPD Only,0
192712938,2021-01-17,0101000020E6100000F599DAEC613E53C0F55EBCBE8C6F4340,38.871193,-76.974728,2201 MINNESOTA AVENUE SE,Ward 8,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",FAR NORTHEAST AND SOUTHEAST,0,1.0,0.0,0.0,1,0,MPD and DCFEMS,0
192712946,2021-01-18,0101000020E61000003B2A9F35593E53C076F60C71956F4340,38.87262,-76.973815,2200 MINNESOTA AVENUE SE,Ward 8,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",FAR NORTHEAST AND SOUTHEAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192713136,2021-01-29,0101000020E6100000AF99018A5F3E53C0A4FD463C806F4340,38.871146,-76.97439,2208 NAYLOR ROAD SE,Ward 8,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",FAR NORTHEAST AND SOUTHEAST,1,2.0,0.0,0.0,0,0,MPD Only,0
192956580,2021-01-02,0101000020E61000007E23C141673E53C0BC6D58B2746F4340,38.870741,-76.975239,2115 Q STREET SE,Ward 8,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",FAR NORTHEAST AND SOUTHEAST,0,2.0,0.0,0.0,0,0,MPD Only,0
192713078,2021-01-30,0101000020E610000057F24027E74153C0341735B849784340,38.939742,-77.029704,13TH STREET NW & SHEPHERD STREET NW,Ward 4,"Brightwood Park, Crestwood, Petworth",ROCK CREEK EAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192712932,2021-01-18,0101000020E610000055C61854D04153C046958AB849784340,38.939742,-77.028335,1217 SHEPHERD STREET NW,Ward 4,"Brightwood Park, Crestwood, Petworth",ROCK CREEK EAST,0,3.0,0.0,0.0,0,0,MPD Only,0
192712472,2021-01-08,0101000020E61000005FB3FF81784053C011E8B5F5247A4340,38.953908,-77.007655,5320 ROCK CREEK CHURCH ROAD NE,Ward 5,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",UPPER NORTHEAST,0,2.0,0.0,0.0,0,0,MPD Only,0
192956140,2021-01-21,0101000020E6100000470DB7558A4053C0965EBB2A287A4340,38.954343,-77.008441,11 RIGGS ROAD NE,Ward 5,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",UPPER NORTHEAST,0,1.0,0.0,0.0,0,0,MPD Only,0
192712467,2021-01-07,0101000020E6100000BACA884E964153C0C099D59434784340,38.939221,-77.024829,3910 GEORGIA AVENUE NW,Ward 4,"Brightwood Park, Crestwood, Petworth",ROCK CREEK EAST,1,1.0,0.0,0.0,1,0,MPD and DCFEMS,0
192956261,2021-01-19,0101000020E6100000D5874558964153C0739AB7DF34784340,38.938678,-77.025133,3900 GEORGIA AVENUE NW,Ward 4,"Brightwood Park, Crestwood, Petworth",ROCK CREEK EAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192952812,2021-01-28,0101000020E6100000C9444C62994153C0131ED0634C784340,38.940004,-77.025703,4000 GEORGIA AVENUE NW,Ward 4,"Brightwood Park, Crestwood, Petworth",ROCK CREEK EAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192956504,2021-01-24,0101000020E610000093B6DBC8A94153C05D56F0AD49784340,38.939741,-77.025986,923 SHEPHERD STREET NW,Ward 4,"Brightwood Park, Crestwood, Petworth",ROCK CREEK EAST,0,2.0,0.0,0.0,0,0,MPD Only,0
192712765,2021-01-07,0101000020E61000005B42DFF2EE3E53C092D2BCCCA5784340,38.942552,-76.983332,MICHIGAN AVENUE NE & SOUTH DAKOTA AVENUE NE,Ward 5,"North Michigan Park, Michigan Park, University Heights",UPPER NORTHEAST,0,2.0,0.0,0.0,1,0,MPD Only,0
192712873,2021-01-23,0101000020E61000000742876B263B53C08CED718580734340,38.902464,-76.924178,945 DIVISION AVENUE NE,Ward 7,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",FAR NORTHEAST AND SOUTHEAST,0,2.0,0.0,0.0,0,0,MPD Only,0
192956511,2021-01-24,0101000020E6100000FC987D71394053C049BB9BFD1D734340,38.899482,-77.003503,700 2ND STREET NE,Ward 6,"Union Station, Stanton Park, Kingman Park",CAPITOL HILL,0,2.0,0.0,0.0,0,0,MPD Only,0
192713101,2021-01-29,0101000020E61000001E6628B4884153C01CE7B10D47754340,38.915837,-77.023968,1901 9TH STREET NW,Ward 1,"Howard University, Le Droit Park, Cardozo/Shaw",MID-CITY,0,3.0,0.0,0.0,1,0,MPD Only,0
