,tweet,lat,lng,sentiment
0,"MPD reports the 700 - 800 block of G Street, NW between 7th Street and 9th Street, NW is closed in both directions  https://t.co/DsBZrwbnX7",38.8984244,-77.0219793,-0.1
1,"The following street closures will be in effect at this time until Friday, September 25, 2020: 

First Street NE be https://t.co/xb57Vz0Puh",38.9046981,-77.0058962,0.125
2,The National Weather Service has issued a Coastal Flood Advisory for the District of Columbia from 10 PM this eveni https://t.co/z6cZiWwDLE,38.9071923,-77.0368707,0.0
3,MPD reports the vehicle crash has cleared and all travel lanes in the 6600 block of Georgia Avenue NW are open to t https://t.co/2Z7sIQON64,38.9700953,-77.02752509999999,0.0
4,DC Water reports North Capitol Street between New York Ave &amp; M Street NW is closed for 6 to 8 hours for water main  https://t.co/LHci3N4Akz,38.90622279999999,-77.012165,0.06767676767676767
5,The District Department of Transportation (DDOT) will temporarily divide the two right southbound lanes of DC-295 p https://t.co/Yt3otlejOl,38.8626025,-77.0008203,0.2857142857142857
6,MPD reports one southbound lane in the 6600 block of Georgia Avenue is closed due to a motor vehicle crash. Please  https://t.co/rDQ1aAHkCa,38.9827199,-77.02656809999999,-0.1125
7,DC Water reports the utility repairs are complete in the 1900 to 2000 blocks of Trenton Place SE and the roadway is https://t.co/2QXQGYclz7,38.8449974,-76.9782791,0.1
8,DC Water reports a water outage in the 1500 block of 7th Street NW. Estimated time of restoration is 8 to 10 hours. https://t.co/2T1JljCUPK,38.9096388,-77.0219262,0.0
9,DC Water reports the water service repairs have been completed on T Street between Vermont Avenue &amp; 9th Street NW.  https://t.co/4sQn6ONtTX,38.8733808,-77.0039985,0.0
10,DC Water reports a water outage in the 900 block of Southern Ave SE. Estimated time of restoration is 8 to 10 hours https://t.co/Jm47j5Y45Z,38.8309067,-76.9889388,0.0
11,"DC Water reports a road closure in the 3900 Block of Morrison Street, NW for 6 to 8 hours due to water service repa https://t.co/xEuZxz2lJ6",38.96400000000001,-77.077145,-0.125
12,The National Weather Service has issued a Coastal Flood Advisory for the District of Columbia until 2 PM this after https://t.co/4PBm63qgOP,38.9071923,-77.0368707,0.0
13,DC Water reports a road closure in the 1900 to 2000 blocks of Trenton Place SE for 6 to 8 hours due to utility repa https://t.co/GGKnioXJBo,38.8451332,-76.9765216,-0.125
14,"DC Water reports T Street NW, between Vermont Ave and 9th Street NW, will be closed for 8 hours due to service repa https://t.co/bIrbpPA4ob",38.898771,-77.0308488,-0.1125
15,DC Water reports the 1600 block of Euclid Street NW will be closed for 6-8 hours due to water service repairs. Plea https://t.co/iNc8jRsVrp,38.9232288,-77.0365073,-0.1125
16,"MPD reports the vehicle crash has cleared and the westbound lanes in the 600 block of New York Avenue, NE, are now  https://t.co/qcw4iPoUR7",38.912341,-76.9956497,0.13636363636363635
17,"MPD reports the westbound lanes in the 600 block of New York Avenue, NE, are blocked due to a vehicle crash. Expect https://t.co/L3vr5MT5kT",38.912341,-76.9956497,0.005681818181818177
18,"Shooting in the 3500 block of Jay Street NE. Lookout for Suspect-1 black male, blue sweater hoodie, gray jeans; an https://t.co/3STD0xhtWT",38.9014895,-76.9402327,-0.05555555555555555
19,U.S. Capitol Police reports the 300 block of 1st Street NE between C Street and D Street NE is open to traffic. https://t.co/9i3acA868N,38.8899389,-77.0090505,0.0
20,The District Department of Transportation (DDOT) is scheduled to restrict curbside parking and temporarily close la https://t.co/zMIkg95CcG,38.8760094,-77.0070764,0.0
21,US Capitol Police reports the police activity is clear in the 100 Block of D Street NE and the associated road clos https://t.co/jMhY0N6pA8,38.8899389,-77.0090505,0.10000000000000002
22,US Capitol Police reports that D St between 1st St and 2nd St NE is closed due to police activity. Please seek an a https://t.co/6FWqHJ7x3G,38.8899389,-77.0090505,-0.075
23,DC Water reports a road closure in the 900-1000 Block of Hamilton Street NW for 6-8 hours due to water service repa https://t.co/hhsQ8xuGtl,38.9529435,-77.02608289999999,-0.125
24,"DDOT reports the vehicle crash has cleared and the westbound lanes on New York Avenue, NE, at Bladensburg Road have https://t.co/Pa9WlTcDjD",38.9172382,-76.9724062,0.13636363636363635
25,"U.S. Capitol Police (USCP) reports the 400 block of South Capitol Street, SW, between D and E Streets is now open. https://t.co/BgX4mIwqlh",38.8899389,-77.0090505,0.0
26,"MPD reports the westbound lanes on New York Avenue, NE, at Bladensburg Road are blocked due to a vehicle crash. Exp https://t.co/TovuQEEi71",38.9172382,-76.9724062,0.005681818181818177
27,"U.S. Capitol Police reports the 400 block of South Capitol Street, SW, between D and E Streets is closed due to dem https://t.co/byAUZZX1tM",38.8899389,-77.0090505,-0.1125
28,MPD reports the vehicle crash has cleared and all travel lanes on the John Philip Sousa Bridge have reopened to tra https://t.co/dSHXPJRCtK,38.8768799,-76.9778772,0.0
29,The National Weather Service (NWS) has issued a Coastal Flood Advisory for the District of Columbia until 1 AM Mond https://t.co/UYHvQ8IObA,38.9071923,-77.0368707,0.0
30,"DDOT reports the westbound travel lanes on the John Philip Sousa Bridge are now closed until further notice, due to https://t.co/Qs9WPPFwVY",38.8768799,-76.9778772,-0.075
31,"DDOT reports the eastbound travel lanes on the John Philip Sousa Bridge are closed until further notice, due to a v https://t.co/XiKVkXxuVg",38.8768799,-76.9778772,-0.075
32,MPD reports a road closure in both directions of the 2300 block of Park Place SE due to vehicle crash. Please use a https://t.co/ufDQbUAVBg,38.871527,-76.9731767,-0.125
33,Robbery investigation at MLK and Shannon Place SE. Lookout for four black males armed with Glock pistols wearing  https://t.co/lFRXT59qgL,38.8641736,-76.9917753,-0.16666666666666666
34,"Robbery Investigation at 1617hrs in the 4200 block of Hayes St NE. Lookout for B/M slim build with dreadlocks, wea https://t.co/PTRD5QQeO2",38.899731,-76.9423712,0.0
35,"Robbery Investigation in the 1400 block of North Capital St NW.  Lookout for a Black Male 50-60 years old, Medium  https://t.co/AEkqv4xgmc",38.90872969999999,-77.0094055,-0.022222222222222216
36,U.S. Park Police reports the vehicle crash at the intersection of Fort Dupont Drive and Fort Davis Drive SE has bee https://t.co/ki92o21vRX,38.8761885,-76.9487955,0.0
37,DDOT reports the vehicle crash is cleared on the northbound lanes of I-395 at the 3rd Street Tunnel and all lanes a https://t.co/plwxi4BP0u,38.83560810000001,-77.0952009,0.0
38,DDOT reports the four right lanes on northbound I-395 at the 3rd Street Tunnel are closed due to a vehicle crash. P https://t.co/Ze8SRTJGHD,38.83560810000001,-77.0952009,0.015178571428571423
39,"U.S. Park Police reports Fort Dupont Drive at Randle Circle SE, Fort Davis Drive at Ridge Road, and the intersectio https://t.co/DSsorKTfYV",38.8782744,-76.96084979999999,0.0
40,"Stabbing Investigation in the 2500 block of Pomeroy Road SE. Lookout for B/F, 35 years of age, 5'9"", dark complexi https://t.co/UEA9jPMt04",38.8549426,-76.98955,-0.75
41,"Stabbing at Georgia Ave NW and Newton Place NW. Lookout for: B/F about 50 years of age, wearing orange and tan pan https://t.co/R9uXxMBlg9",38.9336418,-77.0239026,-0.6
