,OBJECTID_left,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE,geometry,YEAR,index_right,OBJECTID_right,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
259,260,{23540991-24FD-4CA3-AC38-08422C6C94BE},260,Speeding,2015-06-30T13:42:14+00:00,Unassigned,6953.0,This block seems to be some sort of drag race spot for motorcycles.,Pedestrian,POINT (-76.97500808549886 38.94424654339771),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,331,{6F8384B1-2D1F-4809-9A78-31D23C6872C4},331,Other Biking Issue,2015-06-30T15:43:04+00:00,Unassigned,3890.0,Frequent close passing at high speed on blind hill by drivers.,Biker,POINT (-77.03433398089943 38.99059947161571),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,1137,{46EFDCA8-BE5D-4292-9D5E-6C5DFCC39142},1137,Failure to stop for pedestrians,2015-07-03T03:27:18+00:00,Unassigned,3998.0,Cars turning right from western age onto Wisconsin age northbound often do not yield to pedestrians in crosswalk.,Pedestrian,POINT (-77.0854819135665 38.96097613718058),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,1642,{287E0AAF-B86B-4E4E-8BD4-4B244CF1589C},1642,Other Walking Issue,2015-07-06T18:47:21+00:00,Unassigned,3890.0,Sidewalk randomly ends mid-block.,Pedestrian,POINT (-77.03453833198863 38.99075862514142),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,2094,{A9036D86-DADA-4523-AF3F-9BCA4E199B68},2094,Other Driving Issue,2015-07-12T21:49:47+00:00,Unassigned,11306.0,"NO ACCOMMODATION FOR BICYCLISTS.  TELL ME, HOW ARE CYCLISTS SUPPOSED TO GO WEST HERE TO GET TO THE PA AVE CYCLE LANES?  NO BIKE ACCOMMODATIONS ON CONSTITUTION.  THE SENATE PARKING LOT IS OFTEN BLOCKED OFF.",Pedestrian,POINT (-77.00910209135202 38.89208158879337),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,2298,{D78137AF-7FD2-4B2B-87BD-B404E8EF86FA},2298,Other Driving Issue,2015-07-13T17:33:40+00:00,Unassigned,12240.0,"Are there two travel lanes here, or just one? The portion of Eastern towards NH Ave has two marked lanes, but once you cross the hill and head towards Kansas Ave, all road markings disappear, but there was no merge. What to do?",Biker,POINT (-77.00351326214084 38.96652865899973),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,2314,{7C3B31F3-8D07-41FF-84E2-E1B5B8269438},2314,Speeding,2015-07-13T17:48:19+00:00,Unassigned,11079.0,"Speeding is huge issue on this stretch of Eastern Ave. Though the speed limit is 25 MPH (because it is entirely residential), it is completely ignored.",Car Driver,POINT (-76.90978646176978 38.89318113116489),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,3305,{1455B3B3-9FEE-486F-9FFE-6C4BEEBAC385},3305,Speeding,2015-07-17T20:41:30+00:00,Unassigned,4136.0,"This intersection is dangerous not just for pedestrians, but motorists as well.  There are vehicles coming from five different directions and there are frequent accidents. Need a stop sign or light.",Pedestrian,POINT (-76.96670093150979 38.93793376095024),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,3589,{60F298A1-4067-4A2F-BE71-CA3D97262169},3589,Other Walking Issue,2015-07-21T17:59:03+00:00,Unassigned,934.0,Nowhere to cross to get to grocery store for miles. Need crosswalks on Eastern Ave,Pedestrian,POINT (-76.99501084133468 38.95989048253602),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,3590,{8F442507-9700-4B6B-B81B-490C7855AE7D},3590,Poor visibility,2015-07-21T18:00:46+00:00,Unassigned,12559.0,Difficult to see traffic if trying to turn right or left with cars parked on street,Car Driver,POINT (-76.9893922437733 38.95549211279258),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,3595,{C0BBF732-5D1E-42ED-B72C-9F099F749C1D},3595,Other Driving Issue,2015-07-21T22:36:51+00:00,Unassigned,8899.0,"Cars fail to recognize the ""No Left Turn"" signs and hold up traffic as people incessantly blare their horns",Pedestrian,POINT (-77.08573589776191 38.96078933518228),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,3614,{9697424B-91B8-4FB7-A77E-F66471EA091C},3614,Speeding,2015-07-22T12:28:18+00:00,Unassigned,3836.0,"Lots of pedestrians, bus riders, cyclists, and mobility impaired citizens at this intersection and cars that go as much as twice the speed limit of 25.  Needs a light, stop sign, or speed management device to allow for safe traffic management.",Pedestrian,POINT (-76.9668177043353 38.93786097017641),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,3621,{5FD33399-5920-44E0-82F6-EC65163B38AB},3621,Speeding,2015-07-21T18:00:01+00:00,Unassigned,934.0,Drivers typically speed down Eastern Ave.,Pedestrian,POINT (-76.99548103628581 38.96025905291913),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
