,OBJECTID_left,CRIMEID,CCN,REPORTDATE,ROUTEID,MEASURE,OFFSET,STREETSEGID,ROADWAYSEGID,FROMDATE,TODATE,MARID,ADDRESS,LATITUDE,LONGITUDE,XCOORD,YCOORD,WARD,EVENTID,MAR_ADDRESS,MAR_SCORE,MAJORINJURIES_BICYCLIST,MINORINJURIES_BICYCLIST,UNKNOWNINJURIES_BICYCLIST,FATAL_BICYCLIST,MAJORINJURIES_DRIVER,MINORINJURIES_DRIVER,UNKNOWNINJURIES_DRIVER,FATAL_DRIVER,MAJORINJURIES_PEDESTRIAN,MINORINJURIES_PEDESTRIAN,UNKNOWNINJURIES_PEDESTRIAN,FATAL_PEDESTRIAN,TOTAL_VEHICLES,TOTAL_BICYCLES,TOTAL_PEDESTRIANS,PEDESTRIANSIMPAIRED,BICYCLISTSIMPAIRED,DRIVERSIMPAIRED,TOTAL_TAXIS,TOTAL_GOVERNMENT,SPEEDING_INVOLVED,NEARESTINTROUTEID,NEARESTINTSTREETNAME,OFFINTERSECTION,INTAPPROACHDIRECTION,LOCATIONERROR,LASTUPDATEDATE,MPDLATITUDE,MPDLONGITUDE,MPDGEOX,MPDGEOY,BLOCKKEY,SUBBLOCKKEY,FATALPASSENGER,MAJORINJURIESPASSENGER,MINORINJURIESPASSENGER,UNKNOWNINJURIESPASSENGER,geometry,YEAR,index_right,OBJECTID_right,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SQMILES
1,167334058,27974025,19039781,2019-03-09T02:51:11+00:00,11092692,1721.13,5.89,,,2019-03-08T05:00:00+00:00,1970-01-01T00:00:00+00:00,294463,5255 WESTERN AVENUE NW,38.95891,-77.088156,392359.365,143448.467,Ward 3,{57790F81-C820-4F6E-8B18-AA01319C17FC},5255 WESTERN AVENUE NW,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11004402,44TH ST NW,7.57,Northeast,,1970-01-01T00:00:00+00:00,38.960226,-77.086542,392393.41,143414.76,ff0c117e444eb7fd7f04bc107e733555,ff0c117e444eb7fd7f04bc107e733555,0,0,0,0,POINT Z (-77.08649611596839 38.96019634152611 0),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,167334085,27580828,18021977,2018-02-09T01:30:29+00:00,13081512,1181.98,21.77,-9.0,33203.0,2018-02-08T05:00:00+00:00,1970-01-01T00:00:00+00:00,298230,890 SOUTHERN AVENUE SE,38.828778,-76.992256,400672.405,128999.083,Ward 8,{A28B67B5-77D6-4FCC-9F16-DE0F69D7278D},890 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,58016962,Driveway-58016962,37.66,Southwest,,1970-01-01T00:00:00+00:00,38.828654,-76.992104,400685.58,128985.41,dbd75adc2d2b48d2b27732309c332071,fc81a9bf51de93885b2b876fe40bc332,0,0,0,0,POINT Z (-76.99192923028866 38.82852291639232 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,167334121,27580889,18021948,2018-02-09T03:13:26+00:00,Route not found,0.0,0.0,5645.0,6188.0,2018-02-08T05:00:00+00:00,1970-01-01T00:00:00+00:00,289134,2200 SOUTHERN AVE SE,38.844377,-76.97161,402464.575,130731.131,Ward 8,{580142AC-8933-4700-B8C2-4E08E97EB83A},2200 SOUTHERN AVENUE SE,100.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,7.0,-77.024551,,,Unknown,Unknown,0,0,0,0,POINT Z (-77.02455258122707 6.999999312487208 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,167334150,27819643,18168557,2018-10-05T18:35:59+00:00,13081512,3876.82,10.45,7659.0,19502.0,2018-10-05T04:00:00+00:00,1970-01-01T00:00:00+00:00,47864,2400 SOUTHERN AVENUE SE,38.845573,-76.970415,402568.309,130863.836,Ward 8,{B4E6DDA8-FB94-4ED3-84CB-5E94D89DE685},2400 SOUTHERN AVENUE SE,200.0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13002502,25TH ST SE,5.17,Northeast,,1970-01-01T00:00:00+00:00,38.846003,-76.969692,402578.84,130874.3,9a7e66f54f092d097a649d1b4f844d79,c41174c05f440d1dbdebf883b999ce6c,0,0,1,0,POINT Z (-76.96960959716236 38.84594383720102 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,167334171,25090613,14121695,2014-08-13T05:00:00+00:00,Route not found,0.0,0.0,0.0,0.0,2014-08-13T04:00:00+00:00,1970-01-01T00:00:00+00:00,807833,700 BLOCK OF D ST. SE,38.883748,-76.995577,400383.731,135101.218,Ward 6,{9A54B537-86DC-4AB6-B80E-CF5C1563DE81},D STREET SE FROM SOUTH CAROLINA AVENUE SE TO 8TH STREET SE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,167334177,27843136,18183222,2018-10-29T04:14:27+00:00,12031982,1740.14,16.73,11013.0,21364.0,2018-10-28T04:00:00+00:00,1970-01-01T00:00:00+00:00,82882,950 EASTERN AVENUE NE,38.903563,-76.923047,406674.901,137303.64,Ward 7,{2F1DE4FB-62E4-4CBC-826E-8F1D579C116B},950 EASTERN AVENUE NE,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12029642,DIVISION AVE NE,14.42,Southeast,,1970-01-01T00:00:00+00:00,38.9038,-76.923618,406658.1,137286.77,993a4b2eecca598e7ad4b9dd352b0e22,f3e77c1302769cdcb628a013d7403043,0,0,0,0,POINT Z (-76.92348365791491 38.90391423682906 0),2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,167334186,25221710,15016665,2015-02-03T05:00:00+00:00,Route not found,0.0,0.0,15472.0,39558.0,2018-10-17T04:00:00+00:00,1970-01-01T00:00:00+00:00,906909,CLERMONT DR NE and  NORTH CAPITOL ST,38.942381,-77.008034,399303.514,141609.957,Ward 5,{3DB338FE-A579-4ADB-B2E9-D5C22B4FA8C4},CLERMONT DRIVE NE AND NORTH CAPITOL STREET,87.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Unknown,Unknown,0.0,Unknown,Crash point too far away from centerline,1970-01-01T00:00:00+00:00,-9.0,-9.0,,,Unknown,Unknown,0,0,0,0,POINT Z (-8.999980060218483 -9.000000890507563 0),2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,167334211,28209763,19193636,2019-10-29T16:44:09+00:00,0,0.0,17.43,,,2019-10-29T04:00:00+00:00,1970-01-01T00:00:00+00:00,294364,WESTMORELAND CIRCLE NW,38.948687,-77.100575,391281.73,142314.72,Ward 3,{BD4433F4-419B-4FEF-A433-9CE87DEBD921},,200.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,East,,1970-01-01T00:00:00+00:00,38.949275,-77.100936,391256.49,142334.17,485091a118b53ecfd1d286304752ab54,485091a118b53ecfd1d286304752ab54,0,0,0,0,POINT Z (-77.100737701469 38.94927230717988 0),2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,167334350,25166408,14160927,2014-10-18T05:00:00+00:00,12031982,3978.76,0.02,8646.0,9198.0,2014-10-18T04:00:00+00:00,1970-01-01T00:00:00+00:00,905467,EASTERN AVE NE and  RHODE ISLAND AVE NE,38.935202,-76.963447,403169.227,140813.632,Ward 5,{2864B8D4-078F-49F4-A73B-267CC801FEDE},EASTERN AVENUE NE AND RHODE ISLAND AVENUE NE,100.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12068052,OTIS ST NE,0.05,Northwest,,1970-01-01T00:00:00+00:00,,,,,ffebfe2076a9d663bdf5a3030d74bf69,ffebfe2076a9d663bdf5a3030d74bf69,0,0,0,0,POINT Z (-76.96344914398799 38.93520989824778 0),2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,167334487,27239782,17038055,2017-03-07T21:51:38+00:00,0,0.0,11.64,1871.0,2477.0,2017-03-07T05:00:00+00:00,1970-01-01T00:00:00+00:00,304513,2901 BRANCH AVENUE SE,38.854806,-76.957904,403643.05,131893.534,Ward 7,{83998B25-5078-4306-8AC0-37863ABAB719},2907 BRANCH AVENUE SE,200.0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Not Available,0.0,East,,1970-01-01T00:00:00+00:00,38.854806,-76.957904,403573.6,131924.78,5288f60294d90a6c44068dfc5b248184,5288f60294d90a6c44068dfc5b248184,0,0,0,0,POINT Z (-76.95803105140122 38.85485226041936 0),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
