STREETSEGID,FACILITYID,SOURCEID,STREETID,REGISTEREDNAME,STREETTYPE,QUADRANT,DIRECTIONALITY,SEGMENTTYPE,FROMNODEID,TONODEID,FROMADDRESSLEFTTHEO,TOADDRESSLEFTTHEO,FROMADDRESSRIGHTTHEO,TOADDRESSRIGHTTHEO,BEGINMEASURE,ENDMEASURE,UPDATETIMESTAMP,OBJECTID_1,OBJECTID,SHAPELEN
2466,SEGID-2466,10190160,100190,19TH,ST,NW,2,2,15597,17019,1600,1622,1601,1621,0,82.09379208,2005/11/01 16:55:47+00,2546144,2684355,82.09375
648,SEGID-648,10190165,100190,19TH,ST,NW,2,2,17019,21789,1624,1698,1623,1699,0,82.04768411,2005/11/01 16:55:47+00,2546241,2684356,82.0476790455242
10440,SEGID-10440,10190170,100190,19TH,ST,NW,2,2,21789,21790,1700,1720,1701,1721,0,84.0629196,2005/11/01 16:55:47+00,2546242,2684357,84.0629555113453
11369,SEGID-11369,10190175,100190,19TH,ST,NW,2,2,21790,21881,1722,1798,1721,1799,0,80.40711863,2005/11/01 16:55:47+00,2546243,2684358,80.4070965483733
1872,SEGID-1872,10190180,100190,19TH,ST,NW,2,2,21881,21749,1800,1818,1801,1819,0,82.48522652,2005/11/01 16:55:47+00,2546244,2684359,82.4852174732556
10008,SEGID-10008,10190185,100190,19TH,ST,NW,2,2,21749,21750,1820,1898,1821,1899,0,82.25033415,2005/11/01 16:55:47+00,2546245,2684360,82.2503500777677
280,SEGID-280,10190187,100190,19TH,ST,NW,2,2,21750,17683,1900,1908,1901,1909,0,35.004726,2005/11/01 16:55:47+00,2546246,2684361,35.0047077843673
4896,SEGID-4896,10190191,100190,19TH,ST,NW,2,2,17683,15593,1910,1998,1909,1999,0,126.97728047,2005/11/01 16:55:47+00,2546247,2684362,126.97728675658
3447,SEGID-3447,10190195,100190,19TH,ST,NW,2,2,15593,22033,2000,2098,2001,2099,0,98.70999443,2005/11/01 16:55:47+00,2546248,2684363,98.7100097165312
13066,SEGID-13066,10190210,100190,19TH,ST,NW,2,2,22033,15083,2100,2112,2101,2113,0,103.23572556,2005/11/01 16:55:47+00,2546249,2684364,103.235736851131
2799,SEGID-2799,10190220,100190,19TH,ST,NW,2,2,15083,17393,2114,2198,2115,2199,0,41.39405995,2005/11/01 16:55:47+00,2546250,2684365,41.3940569968874
9944,SEGID-9944,10190225,100190,19TH,ST,NW,2,2,17393,20473,2200,2298,2201,2299,0,56.97880254,2005/11/01 16:55:47+00,2546251,2684366,56.9787885105536
8869,SEGID-8869,10190230,100190,19TH,ST,NW,2,2,20473,20474,2300,2398,2301,2399,0,131.84289938,2005/11/01 16:55:47+00,2546252,2684367,131.842898566218
4366,SEGID-4366,10190240,100190,19TH,ST,NW,2,2,20474,21733,2400,2414,2401,2415,0,82.29564169,2005/11/01 16:55:47+00,2546253,2684368,82.2956723154943
5450,SEGID-5450,10190243,100190,19TH,ST,NW,2,2,21733,15425,2416,2498,2417,2499,0,115.41120426,2005/11/01 16:55:47+00,2546254,2684369,115.411176825474
8175,SEGID-8175,10190310,100190,19TH,ST,NW,2,2,21622,16644,3100,3116,3101,3127,0,114.16545956,2005/11/01 16:55:47+00,2546255,2684370,114.165458095882
11164,SEGID-11164,10230180,100230,23RD,ST,NW,2,2,20306,20622,1800,1818,1801,1819,0,81.99003694,2005/11/01 16:55:47+00,2546256,2684371,81.9900478872427
5988,SEGID-5988,10230185,100230,23RD,ST,NW,2,2,20622,20339,1820,1898,1821,1899,0,88.49753147,2005/11/01 16:55:47+00,2546257,2684372,88.497527656774
8566,SEGID-8566,10230190,100230,23RD,ST,NW,2,2,20339,4289,1900,1918,1901,1919,0,73.3897117,2005/11/01 16:55:47+00,2546258,2684373,73.3896831046864
250,SEGID-250,10230200,100230,23RD,ST,NW,2,2,4289,14766,1920,1928,1921,1929,0,46.22010915,2005/11/01 16:55:47+00,2546259,2684374,46.2201410295466
12807,SEGID-12807,10230210,100230,23RD,ST,NW,2,2,14766,16826,1930,1998,1931,1999,0,33.76091595,2005/11/01 16:55:47+00,2546260,2684375,33.7609172846513
2186,SEGID-2186,10230215,100230,23RD,ST,NW,2,2,16826,16827,2000,2004,2001,2215,0,87.5118328,2005/11/01 16:55:47+00,2546261,2684376,87.5118141388453
13077,SEGID-13077,10240061,100240,24TH,ST,NW,2,2,14435,16332,600,698,601,699,0,50.1883123,2005/11/01 16:55:47+00,2546262,2684377,50.1883181233383
1464,SEGID-1464,10240070,100240,24TH,ST,NW,2,2,16332,16333,700,798,701,799,0,138.53779694,2005/11/01 16:55:47+00,2546263,2684378,138.537813354985
8645,SEGID-8645,10240080,100240,24TH,ST,NW,2,2,16333,20373,800,888,801,889,0,124.36315908,2005/11/01 16:55:47+00,2546264,2684379,124.363146738721
11668,SEGID-11668,10240090,100240,24TH,ST,NW,2,2,20373,16515,890,900,891,899,0,46.85700903,2005/11/01 16:55:47+00,2546265,2684380,46.8569987410921
11502,SEGID-11502,10240095,100240,24TH,ST,NW,2,2,16515,903,900,1010,901,1011,0,206.5110719,2005/11/01 16:55:47+00,2546266,2684381,206.511078776854
2383,SEGID-2383,10240105,100240,24TH,ST,NW,2,2,903,16961,1012,1098,1013,1099,0,84.65067867,2005/11/01 16:55:47+00,2546267,2684382,84.6507034693471
12541,SEGID-12541,10240110,100240,24TH,ST,NW,2,2,16961,17062,1100,1198,1101,1199,0,168.81625562,2005/11/01 16:55:47+00,2546268,2684383,168.816260895152
7417,SEGID-7417,10240120,100240,24TH,ST,NW,2,2,17062,19665,1200,1298,1201,1299,0,220.04461367,2005/11/01 16:55:47+00,2546269,2684384,220.044618786589
10065,SEGID-10065,10240171,100240,24TH,ST,NW,2,2,17569,15728,1700,1798,1701,1799,0,53.67490665,2005/11/01 16:55:47+00,2546270,2684385,53.6748992448329
