X,Y,OBJECTID,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE
-77.020314939909,38.8928901311895,1,{7AA2347A-C035-4D5A-9196-07C309B4C7BF},1,Blocking the crosswalk,2015/06/29 19:56:00+00,Unassigned,10022,Cars for valet at the Capital Grille constantly block the crosswalk,Pedestrian
-77.0208768955065,38.8930456201911,2,{1AFF4069-5D94-49A1-9D1F-0A089D414F5F},2,Other Driving Issue,2015/06/29 19:57:36+00,Unassigned,10022,Illegal U-Turns here,Pedestrian
-77.0246427344566,38.9181251648006,3,{908CCF07-A389-40EE-B5D2-7ADAF90404D1},3,Not enough time to cross,2015/06/29 20:14:32+00,Unassigned,10396,There is no walk sign on this intersection so I never feel safe crossing. I don't know if the light is about to turn green for motorists on Vermont Avenue,Pedestrian
-77.0035147116057,38.8961237722923,4,{12E7A594-76F9-41CE-91AC-9B6B8E08EC5C},4,Stop sign running,2015/06/29 20:15:02+00,Unassigned,4381,"Constant issue; MPD never enforces despite repeated requests.",Pedestrian
-77.0175615038001,38.8832662790314,5,{0AED48A8-A4DD-44E9-8C4A-D45E14E7462D},5,Cyclist behavior,2015/06/29 20:15:05+00,Unassigned,5344,Some cyclists often run this red light,Biker
-77.0297961335665,38.9191976491582,6,{63C07377-6059-475D-B443-52B755E093CE},6,Other Walking Issue,2015/06/29 20:15:20+00,Unassigned,12172,"Developer blocking entire sidewalk and portion of road. Cars drive very fast on this stretch. Danger to pedestrians, especially seniors and children.",Pedestrian
-77.0326674265696,38.9290337954411,7,{446A2BF2-B7D4-4EC1-9398-8A6578E5CDC2},7,Double parking,2015/06/29 20:16:05+00,Unassigned,763,"As a cyclist who lives in this area, the block between Irving and Park on 14th St NW is particularly terrible when it comes to double parking and parking in the bike lanes.",Biker
-77.0096685795909,38.8793025491395,8,{E87DC54D-4D5D-46D0-BB9F-3244D55712AB},8,Other Driving Issue,2015/06/29 20:16:42+00,Unassigned,8491,Cars park in the bike lanes here,Biker
-77.0319566059437,38.8994082390377,9,{16B83A66-E04F-433E-879B-A8C1652DE8B5},9,Blocking the crosswalk,2015/06/29 20:17:15+00,Unassigned,91,Northbound signal at NY Ave remains green long after n/bound signal at H St turns red. Traffic backs up into north crosswalk (& even blocks box entirely). Signals desperately need retiming.,Pedestrian
-77.0058900205271,38.9037484771994,10,{54E6610D-A5C5-49AA-9312-E80C88A5010B},10,Red light running,2015/06/29 20:18:49+00,Unassigned,7950,"On 1st St the 2-way protected bike lane runs along the east side of the street. At L, westbound drivers turn right on red (if they stop at all) despite oncoming 2-way bicycle traffic. I have come within 2 feet of a T-boning driver twice",Biker
-77.0241628427063,38.8939433977963,11,{E918281F-AA57-4B60-B43D-CC5C693E9C1B},11,Poor visibility,2015/06/29 20:19:13+00,Unassigned,8606,"Post-mounted signs on SW corner (facing eastbound traffic) almost completely block approaching motorists' view of pedestrians entering crosswalk. Extremely dangerous after 7pm, when right on red becomes legal.",Pedestrian
-77.0345724687064,38.9065739098648,12,{CEB9A4EA-3946-4355-B4A4-15C7C147CCAB},12,Red light running,2015/06/29 20:19:31+00,Unassigned,746,Red Light running and Speeding is a major problem on Massachusetts Ave at this intersection during rush hour.,Pedestrian
-77.0259921427173,38.9022886441394,13,{B6C09899-02CD-4357-87FD-1F049538FFB7},13,Blocking the crosswalk,2015/06/29 20:22:11+00,Unassigned,5193,Taxi drivers routinely exceed the allotted space for the taxi stand at the hotel and park in the crosswalk.,Pedestrian
-77.0058917656546,38.902530547484,14,{144BED48-BC50-41BB-8C45-2A48157FA3DA},14,Red light running,2015/06/29 20:22:55+00,Unassigned,1292,"Northbound drivers turning right onto K NE frequently turn without yielding to 2-way bicycle traffic on the 1st St. protected bike lane. Signs suggest yielding to bicycles, but signal separation is needed.",Biker
-77.0328516884114,38.8991012596199,15,{C3954859-1E5E-45D5-996C-4C5252514932},15,Double parking,2015/06/29 20:22:59+00,Unassigned,732,Tour busses consistently block eastbound bike lane.,Biker
-77.0239747412232,38.8973035513796,16,{3482EA67-9532-4E38-B162-410F5F7E86F9},16,Failure to stop for pedestrians,2015/06/29 20:23:21+00,Unassigned,1479,Drivers turning south onto 9th from F St. (from either direction) routinely fail to yield to pedestrians in crosswalk. Red-light-running also extremely common. Intersection needs a dedicated left-turn arrow for w/bound cars turning south onto 9th St.,Pedestrian
-77.0199052910006,38.8980222778687,17,{7526ADD2-06EA-4687-87D9-D033BDE9CB33},17,Double parking,2015/06/29 20:23:54+00,Unassigned,6031,"When events occur at the Verizon Center, load-ins are scheduled during rush hour. Multiple vehicles park in the rush hour zone on the east side of the street. On the morning of 6/29/15, they were parked in 2 of the 3 lanes.",Biker
-77.0394678993991,38.9247800278814,18,{A50FCCAD-6006-4B91-9336-1C4B5AA97831},18,Other Walking Issue,2015/06/29 20:23:58+00,Unassigned,800,"Ongoing construction here has the south sidewalk completely blocked off and closed, forcing peds to cross the street. There is a crosswalk here, but cars are often going very fast and it's not easy to cross.",Pedestrian
-77.0327035976991,38.895520233682,19,{D6ECB052-6812-4909-8B14-44455FB16E38},19,Other Driving Issue,2015/06/29 20:24:17+00,Unassigned,1067,Illegal U-turns,Biker
-77.0352184797681,38.9214708334558,20,{A96E4968-9CA2-4C7D-9E6E-95BDAC0D17AD},20,Failure to stop for pedestrians,2015/06/29 20:25:26+00,Unassigned,13234,"There's a crosswalk here across 15th street to/from the park, but it's at the top of the steep hill and there's poor signage, so cars never stop for peds walking into crosswalk. Needs blinking lights, etc for safety. I've almost been hit here.",Pedestrian
-77.0199071617126,38.895650403715,21,{5CDE043D-3549-46B9-8922-CEC4A196927B},21,Double parking,2015/06/29 20:25:41+00,Unassigned,13243,Government shuttle busses stop/ park in this block during rush hour/ no parking hours in the AM. The other 3 streets do not have this restriction. Please get this illegal shuttle bus stop shut down!,Biker
-77.0220866629467,38.9209757624228,22,{268BD057-D291-4122-86F5-AD746DDFCA4B},22,Speeding,2015/06/29 20:26:18+00,Unassigned,13081,"all day, every day",Biker
-77.0432765469574,38.9056710467436,23,{76F3FBDA-38C3-468A-8A31-9B6AACCFA552},23,Blocking the bikebox,2015/06/29 20:26:20+00,Unassigned,7809,"At every light cycle, between 1-4 lanes of car traffic block this box. Furthermore, drivers make left turn on red against the light and without stopping, even bullying pedestrians out of the way",Biker
-76.9816172041821,38.9264595130044,24,{BA86A977-FA7E-4DD3-8784-4A9D36F68079},24,Speeding,2015/06/29 20:26:36+00,Unassigned,348,,Biker
