"search_term","search_term_id","convo_group_id","tweet_id","tweet_text","tweet_place","reply_to_status","quoted_status","created_at","user_id","user_screen_name","user_location","coordinates","user_place"
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1341080756798558211","1341080756798558211","@ApothecaryJeri @moonbeamer6 @andrewDC_ Yes. He said “it was hit by a deer,” but I think a lot of people would think of a parked car being hit by a deer if I used the same phrasing. 😂 Certainly glad he’s okay!","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]}, 'attributes': {}}","1340812459393822721","","2020-12-21 17:59:03+00:00","1143154077083324416","noahmitchell0","Capitol Hill, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1340812459393822721","1340812459393822721","@noahmitchell0 @moonbeamer6 @andrewDC_ Honestly, people don’t hit the deer ..the deer usually come out of nowhere and run into the moving cars .... often inflicting serious damage to the vehicle and the people inside... and yea .. it’s def upsetting and sucks for all involved.","","1340797154978312203","","2020-12-21 00:12:56+00:00","11946722","ApothecaryJeri","Columbia, MD","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1340797154978312203","1340797154978312203","@moonbeamer6 @andrewDC_ Im so upset that he hit a deer though 😭","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]}, 'attributes': {}}","1340797019011620864","","2020-12-20 23:12:07+00:00","1143154077083324416","noahmitchell0","Capitol Hill, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1340797019011620864","1340797019011620864","@noahmitchell0 @andrewDC_ He strikes me as someone who’d be nice.","","1340796626139537408","","2020-12-20 23:11:34+00:00","1190361225202458625","moonbeamer6","Manhattan, NY","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1340796626139537408","1340796626139537408","@moonbeamer6 @andrewDC_ we talked about cars, the vaccine, and a couple of bills. he’s a really chill dude...","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-76.909396, 38.801826], [-76.909396, 38.9953797], [-77.119401, 38.9953797]]]}, 'attributes': {}}","1340761623779307520","","2020-12-20 23:10:01+00:00","1143154077083324416","noahmitchell0","Capitol Hill, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1340761623779307520","1340761623779307520","@andrewDC_ He was probably grateful to talk to a normal person.","","1340737002312970241","","2020-12-20 20:50:55+00:00","1190361225202458625","moonbeamer6","Manhattan, NY","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1340737002312970241","1340737002312970241","the way i’m literally just walking with joe manchin right now holy shit getting all the tea https://t.co/Oyp8pihs20","","","","2020-12-20 19:13:05+00:00","950168810061000705","andrewDC_","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1337060857172389889","1337060857172389889","In light of the holiday season, I wanted to post this picture of my best friend from childhood and I before we performed in a Christmas pageant. She was recently hit and crushed by a car and they are still monitoring for brain activity. I hate that I can’t be there. Circa 1999 https://t.co/Ne2qG9WdGG","{'id': '01fbe706f872cb32', 'url': 'https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json', 'place_type': 'city', 'name': 'Washington', 'full_name': 'Washington, DC', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.119401, 38.801826], [-77.119401, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.801826]]]}, 'attributes': {}}","","","2020-12-10 15:45:24+00:00","1155888730974171137","CFernekes","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1334550745870442496","1334550745870442496","I just learned that a dear friend from college was hit by a car and killed last night. She was a wonderful person. Truly one of a kind. I learned so much from her. Rest in peace and in power.","{'id': '50e8c9b0f7938e83', 'url': 'https://api.twitter.com/1.1/geo/id/50e8c9b0f7938e83.json', 'place_type': 'city', 'name': 'Chevy Chase', 'full_name': 'Chevy Chase, MD', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-77.096707, 38.973575], [-77.096707, 39.011638], [-77.052336, 39.011638], [-77.052336, 38.973575]]]}, 'attributes': {}}","","","2020-12-03 17:31:07+00:00","940014758","bartbing71","Washington, DC","",""
"(hit OR struck OR clipped) by (car OR bus OR truck OR driver OR suv) -feel -feeling -feels","01","1331786123153203201","1331786123153203201","My father just saw a deer get hit by a car and go flying and now we're outside checking on him 🥺🥺🥺 he's not moving anymore","{'id': 'eac9405683a07098', 'url': 'https://api.twitter.com/1.1/geo/id/eac9405683a07098.json', 'place_type': 'city', 'name': 'Beltsville', 'full_name': 'Beltsville, MD', 'country_code': 'US', 'country': 'United States', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-76.962079, 39.014758], [-76.962079, 39.065391], [-76.877619, 39.065391], [-76.877619, 39.014758]]]}, 'attributes': {}}","","","2020-11-26 02:25:29+00:00","896378299085193216","govtaylor","Washington, DC","",""
