Category,Violation
D,SPEED 11-15 MPH OVER THE SPEED LIMIT
S,OWNER OPERATE OR PERMIT OPERATION OF UNINSRD VEH
D,FAIL TO PAY ATTENTION WHILE OPERATING A VEHICLE
D,MAKING A TURN FROM THE WRONG LANE
D,FAIL TO KEEP IN LANE
S,FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE
S,FAIL TO EXHIBIT DRIVER'S LICENSE OR PERMIT
D,SPEED 16-20 MPH OVER THE SPEED LIMIT
D,SPEED 21-25 MPH OVER THE SPEED LIMIT
D,OVER 25 MPH IN EXCESS OF LIMIT ON NON-CONTROLLED A
S,FAIL TO DISPLAY CURRENT INSPECTION STICKER
D,"RIGHT TURN ON RED, VIOLATION NO TURN ON RED SIGN"
D,TURN RIGHT ON RED WHEN PROHIBITED
S,NO FRONT TAGS
S,UNREGISTERED VEHICLE 30 DAYS OR LESS
S,VIOLATION OF RESTRICTION ON LEARNER'S PERMIT
S,SEAT BELT REGULATION VIOLATION
S,NO STOP LIGHT(S)
S,DEAD OR EXPIRED TAGS
S,FAIL TO DISPLAY CURRENT TAGS
S,USE OF UNREGISTERED VEHICLE
D,FOLLOW A VEHICLE TOO CLOSELY
S,FAIL TO HAVE LICENSE
D,FAIL TO CONTROL VEHICLE SPEED TO AVOID COLLIDING
D,PASS WITHOUT CAUTION
D,FAIL TO YIELD RIGHT OF WAY
D,PASSING STOP SIGN WITHOUT COMING TO A FULL STOP
D,PASSING A YELLOW TRAFFI SIGNAL
D,FAIL TO CLEAR INTERSECTION
D,SPEED 26-30 MPH OVER THE SPEED LIMIT
S,OBSTRUCTED TAGS
D,FAIL TO STOP OUT OF AN ALLEY
D,COLLIDING WITH FIXED OBJECT W/NO DAMAGE OR INJURY
S,NO LIGHTS RUNNING ON VEHICLE
S,ONE RUNNING LIGHT
D,DISOBEY TRAFFI CONTROL DEVICE
D,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE"
D,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL
S,PERMIT UNLICENSED DRIVER TO OPERATE VEHICLE
D,FAIL TO YIELD TO ANOTHER  VEHICLE
S,FAIL TO PROPERLY FASTEN TAGS TO VEHICLE
D,BACK UP WITHOUT CAUTION
S,"CANCELLED, SUSPENDED, REVOKED, OR ALTERED PERMIT"
S,VIOLATION OF TINTED WINDOWS REGULATIONS
D,CHANGE LANES WITHOUT CAUTION
D,FAIL TO PROCEED W/ CAUTION AND REDUCED SPD
D,IMPROPER TURN
S,"UNREGISTERED VEHICLE, MORE THAN 30 DAYS"
S,VIOLATION OF THE CHILD RESTRAINT ACT
D,DRIVING ON THE WRONG SIDE OF THE STREET
S,FAIL TO EXHIBIT REGISTRATION
S,NO PERMIT PAST EXPIRATION DATE PLUS 90 DAYS
D,FAIL TO PULL OVER FOR FIRE APPARATUS
D,DISTRACTED DRIVING
S,FAIL TO PROPERLY AFFIX REGISTRATION STICKERS
S,FAIL TO SECURE D TAGS
S,OPERATING HIGH BEAM LIGHTS
S,FAIL TO REPORT FOR INSPECTION
D,FAIL TO YIELD TO AN EMERGENCY VEHICLE
D,FAIL TO YIELD RIGHT OF WAY  PEDESTRIAN IN ROADWAY
S,NOT LICENSED FOR TYPE OF VEHICLE BEING OPERATED
S,POORLY ILLUMINATED TAGS
S,NO REAR LIGHTS
