X,Y,OBJECTID,ID,ENFORCEMENT,ADDRESS,DISTRICT,WARD,ANC,PSA,SPEED,XCOORD,YCOORD,LOCATIONCODE,VENDOR,MAR_ADDRESS,MAR_ID
-77.0031871484084,38.9246075714677,108,48,SPEED SAFETY CAMERA,2600 blk Lincoln Road NE n/b,5,5,5E,502,25,399723.63000819,139636.94994629,9551,VM,2600 - 2899 BLOCK OF LINCOLN ROAD NE,801075
-76.9779840038524,38.9374410038758,109,51,SPEED SAFETY CAMERA,3900 blk South Dakota Ave NE se/b,5,5,5B,503/504,25,401908.75054289,141061.79690697,9557,VM,3900 - 3949 BLOCK OF SOUTH DAKOTA AVENUE NE,806707
-76.9779840038524,38.9374410038758,110,54,SPEED SAFETY CAMERA,3900 blk South Dakota Ave NE nw/b,5,5,5B,503/504,25,401908.75054289,141061.79690697,9561,VM,3900 - 3949 BLOCK OF SOUTH DAKOTA AVENUE NE,806707
-77.0319530321757,38.9170055783743,111,1,RED LIGHT SAFETY CAMERA,14th St s/b @ U St NW ,3,1/2,1B/2B,301/305,,397229.13001138,138792.67999823,12,VM,U STREET NW AND 14TH STREET NW,903573
-76.9218262336857,38.8897587673566,112,9,SPEED SAFETY CAMERA,5500 blk E Capitol St SE e/b,6,7,7C/7E,604/608,25,406784.91,135770.48,8607,Sensys,EAST CAPITOL STREET FROM 55TH STREET NE TO 56TH PLACE SE,808208
-77.014228413197,38.8998388931559,113,14,SPEED SAFETY CAMERA,3rd St Tunnel NW s/b by 3rd St,1,6,6E,101,25,398765.307,136886.649,9103,Sensys,,
-77.0140301329932,38.8997435816588,114,15,SPEED SAFETY CAMERA,3rd St Tunnel NW n/b by MA Ave,1,6,6E,101,25,398783.166,136885.326,9104,Sensys,,
-77.022394657679,38.9232666251403,115,27,SPEED SAFETY CAMERA,2500 blk Georgia Ave NW s/b,3,1,1B,304/306,25,398058.2,139487.72,9303,VM,GEORGIA AVENUE NW FROM HOWARD PLACE NW TO EUCLID STREET NW,802495
-77.0172318109539,38.9122388076604,116,29,SPEED SAFETY CAMERA,1600 blk New Jersey Ave NW s/b,3,5/6,5E/6E,308,25,398505.59,138263.58,9307,,NEW JERSEY AVENUE NW FROM WARNER STREET NW TO R STREET NW,803116
-77.0033497661514,38.9560662011658,117,30,SPEED SAFETY CAMERA,200 blk Riggs Rd NE e/b,4,4/5,4B/5A,406,25,399714.4,143129.98,9407,VM,RIGGS ROAD NE FROM 1ST PLACE NE TO 3RD STREET NE,808105
