Location#,District,PSA,Ward,ANC,Phase,Location
2,4,409,1,1A,Existing,oregon blk Park Pl NW s/b     
3,3,304/305,1,1B,Existing,100 Blk Florida Ave NW nw/b
1,4,408,1,1A/1D,Planned,16th St s/b @ Irving St
131,3,302,1,1A,Proposed,"400 blk Warder Street, NW e/b"
132,5,302,1,1A,Proposed,1500 Blk. Monroe St. NE (EB)
133,3,302,1,1C,Proposed,Columbia Rd n/b @ 17th St
134,3,303,1,1C,Proposed,1800 blk Harvard St NW nw/b
135,3,304,1,1B,Proposed,2400 Blk Sherman Av NW SB
136,3,304,1,1B,Proposed,2500 blk Georgia Ave NW 
137,3,305,1,1B,Proposed,1300 blk W St NW e/b
138,4,408,1,1D,Proposed,1800 to 2000 blocks of Park
139,4,408,1,1D,Proposed,Irving St NW from Adams Mill
140,4,409,1,1A,Proposed,3500 blk New Hampshire Ave NW
141,3,302/304,1,1B,Proposed,700 blk Harvard St NW 
4,5,101,2,2F,Existing,1400 blk New York Ave NE
6,2,207,2,2A,Existing,2200 block K St NW e/b
5,2,206,2,2E,Planned,M St w/b @ Whitehurst Frwy
7,2,207,2,2A,Planned,K St e/b @ 27th St
8,2,207,2,2A,Planned,K St w/b @ 25th St
142,1,101,2,2C/2F,Proposed,10th St @ H St NW
143,2,206,2,2E,Proposed,Reservoir Rd NW between 37th and
144,2,207,2,2A,Proposed,2200 blk K St NW w/b
145,2,207,2,2A,Proposed,Rock Crk Pky n/b NW .2mi
146,2,208,2,2D,Proposed,2300 blk Connecticut Ave NW s/b
147,2,208,2,2B,Proposed,Connecticut Ave NW under Dupont Circle
148,2,301,2,2B,Proposed,1500 blk T St NW e/b
149,3,308,2,2C,Proposed,1500 blk New Jersey Ave NW
10,2,202,3,3E,Existing,4400 Blk. River Rd. NW (NB)
12,2,203,3,3C,Existing,2500 blk Porter St NW w/b
13,2,203,3,3F,Existing,4900 blk Connecticut Ave NW se/b
16,2,204,3,3C,Existing,3500 Massachusetts Ave NW (E/B) 
18,2,205,3,3D,Existing,2900 Blk Arizona Av NW SB
19,2,205,3,3D,Existing,3000 Blk Arizona Av NW SB
20,2,205,3,3D,Existing,3000 blk Foxhall Rd NW s/b
21,2,205,3,3D,Existing,4700 Blk MacArthur Blvd NW s/b
22,2,205,3,3D,Existing,5100 blk Loughboro Rd NW w/b
23,2,205,3,3D,Existing,5700 Blk MacArthur Blv NW NB
25,2,205,3,3D,Existing,Canal Rd NW 0.3 m s/o
9,2,201,3,3G,Planned,Conn Ave n/b @ Military Rd
11,2,202,3,3E/3F,Planned,Wisconsin Ave n/b @ Brandywine St
14,2,203,3,3F/3G,Planned,Connecticut Ave s/b @ Nebraska Ave
15,2,203,3,3C,Planned,Connecticut Ave s/b @ Porter St
17,2,204,3,3C,Planned,Connecticut Ave n/b @ Calvert St
26,2,201/203,3,3F/3G,Planned,Nebraska Ave ne/b @ Fessenden St
150,2,201,3,3G,Proposed,2600 Blk Military Rd. NW (W/B)
151,2,201,3,3G,Proposed,2800 BLK MILITARY RD NW (W/B)
152,2,201,3,3G,Proposed,2900 BLK MILITARY RD NW (E/B)
154,2,201,3,3G,Proposed,5300 blk Reno Rd NW 
155,2,201,3,3G,Proposed,5800 blk Nebraska Ave NW nw/b
156,2,201,3,3G,Proposed,6500 blk Western Ave NW ne/b
157,2,201,3,3G,Proposed,Oregon Ave NW between Military Rd
158,2,201,3,3G,Proposed,33rd St @ Northampton St NW
159,2,202,3,3E,Proposed,4100 blk Albemarle St NW w/b
160,2,202,3,3E,Proposed,4200 blk Van Ness St NW
161,2,202,3,3F,Proposed,4500 blk Nebraska Ave NW 
162,2,202,3,3E,Proposed,4500 Blk. River Rd. NW (SB)
163,2,202,3,3E,Proposed,4700 blk Western Ave NW ne/b
164,2,202,3,3E,Proposed,5000-5200 blks Wisconsin Ave NW 
165,2,203,3,3C,Proposed,2300 blk of Porter St NW
166,2,203,3,3C,Proposed,2300 blk of Porter St NW
167,2,203,3,3C,Proposed,3200 blk Porter St NW e/b
168,2,203,3,3F,Proposed,4800 blk Connecticut Ave NW nw/b
169,2,203,3,3C,Proposed,3800 to 4000 Reno Road NW
170,2,204,3,3C,Proposed,2800 blk Calvert St NW e/b
171,2,204,3,3C,Proposed,2900 blks Cleveland Ave NW 
172,2,204,3,3C,Proposed,3000 Blk Cleveland Av NW SB
173,2,204,3,3C,Proposed,3100 blk Wisconsin Ave NW s/b
174,2,204,3,3C,Proposed,3400-3500 blks Cathedral Ave NW 
175,2,204,3,3B,Proposed,4100 blk Cathedral Ave NW 
176,2,204,3,3C,Proposed,Wisconsin Ave s/b @ Massachusetts Ave
