,Violations,Violations_Edit
0,SPEED 11-15 MPH OVER THE SPEED LIMIT,speed mph speed limit
1,OWNER OPERATE OR PERMIT OPERATION OF UNINSRD VEH,owner operate permit operation uninsured vehicle
2,FAIL TO PAY ATTENTION WHILE OPERATING A VEHICLE,fail pay attention operating vehicle
3,MAKING A TURN FROM THE WRONG LANE,making turn wrong lane
4,FAIL TO KEEP IN LANE,fail keep lane
5,FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE,fail display proof vehicle insurance
6,FAIL TO EXHIBIT DRIVER'S LICENSE OR PERMIT,fail exhibit driver license permit
7,SPEED 16-20 MPH OVER THE SPEED LIMIT,speed mph speed limit
8,SPEED 21-25 MPH OVER THE SPEED LIMIT,speed mph speed limit
9,OVER 25 MPH IN EXCESS OF LIMIT ON NON-CONTROLLED A,mph excess limit non controlled
10,FAIL TO DISPLAY CURRENT INSPECTION STICKER,fail display current inspection sticker
11,"RIGHT TURN ON RED, VIOLATION NO TURN ON RED SIGN",right turn red violation turn red sign
12,TURN RIGHT ON RED WHEN PROHIBITED,turn right red prohibited
13,NO FRONT TAGS,front tag
14,UNREGISTERED VEHICLE 30 DAYS OR LESS,unregistered vehicle day le
15,VIOLATION OF RESTRICTION ON LEARNER'S PERMIT,violation restriction learner permit
16,SEAT BELT REGULATION VIOLATION,seat belt regulation violation
17,NO STOP LIGHT(S),stop light
18,DEAD OR EXPIRED TAGS,dead expired tag
19,FAIL TO DISPLAY CURRENT TAGS,fail display current tag
20,USE OF UNREGISTERED VEHICLE,use unregistered vehicle
21,FOLLOW A VEHICLE TOO CLOSELY,follow vehicle closely
22,FAIL TO HAVE LICENSE,fail license
23,FAIL TO CONTROL VEHICLE SPEED TO AVOID COLLIDING,fail control vehicle speed avoid colliding
24,PASS WITHOUT CAUTION,pas without caution
25,FAIL TO YIELD RIGHT OF WAY,fail yield right way
26,PASSING STOP SIGN WITHOUT COMING TO A FULL STOP,passing stop sign without coming full stop
27,PASSING A YELLOW TRAFFIC SIGNAL,passing yellow traffic signal
28,FAIL TO CLEAR INTERSECTION,fail clear intersection
29,SPEED 26-30 MPH OVER THE SPEED LIMIT,speed mph speed limit
30,OBSTRUCTED TAGS,obstructed tag
31,FAIL TO STOP OUT OF AN ALLEY,fail stop alley
32,COLLIDING WITH FIXED OBJECT W/NO DAMAGE OR INJURY,colliding fixed object w damage injury
33,NO LIGHTS RUNNING ON VEHICLE,light running vehicle
34,ONE RUNNING LIGHT,one running light
35,DISOBEY TRAFFIC CONTROL DEVICE,disobey traffic control device
36,"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE",distracted driving using cell phone device
37,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,fail stop per regulation facing red signal
38,PERMIT UNLICENSED DRIVER TO OPERATE VEHICLE,permit unlicensed driver operate vehicle
39,FAIL TO YIELD TO ANOTHER  VEHICLE,fail yield another vehicle
40,FAIL TO PROPERLY FASTEN TAGS TO VEHICLE,fail properly fasten tag vehicle
41,BACK UP WITHOUT CAUTION,back without caution
42,"CANCELLED, SUSPENDED, REVOKED, OR ALTERED PERMIT",cancelled suspended revoked altered permit
43,VIOLATION OF TINTED WINDOWS REGULATIONS,violation tinted window regulation
44,CHANGE LANES WITHOUT CAUTION,change lane without caution
45,FAIL TO PROCEED W/ CAUTION AND REDUCED SPD,fail proceed w caution reduced spd
46,IMPROPER TURN,improper turn
47,"UNREGISTERED VEHICLE, MORE THAN 30 DAYS",unregistered vehicle day
48,VIOLATION OF THE CHILD RESTRAINT ACT,violation child restraint act
49,DRIVING ON THE WRONG SIDE OF THE STREET,driving wrong side street
50,FAIL TO EXHIBIT REGISTRATION,fail exhibit registration
51,NO PERMIT PAST EXPIRATION DATE PLUS 90 DAYS,permit past expiration date plus day
52,FAIL TO PULL OVER FOR FIRE APPARATUS,fail pull fire apparatus
53,DISTRACTED DRIVING,distracted driving
54,FAIL TO PROPERLY AFFIX REGISTRATION STICKERS,fail properly affix registration sticker
55,FAIL TO SECURE DC TAGS,fail secure dc tag
56,OPERATING HIGH BEAM LIGHTS,operating high beam light
57,FAIL TO REPORT FOR INSPECTION,fail report inspection
58,FAIL TO YIELD TO AN EMERGENCY VEHICLE,fail yield emergency vehicle
59,FAIL TO YIELD RIGHT OF WAY  PEDESTRIAN IN ROADWAY,fail yield right way pedestrian roadway
60,NOT LICENSED FOR TYPE OF VEHICLE BEING OPERATED,licensed type vehicle operated
61,POORLY ILLUMINATED TAGS,poorly illuminated tag
62,NO REAR LIGHTS,rear light
63,PASS A FLASHING YELLOW TRAFFIC SIGNAL,pas flashing yellow traffic signal
64,TURNING LEFT WHERE LEFT TURNS ARE PROHIBITED,turning left left turn prohibited
65,SPEED UP TO TEN MPH OVER THE SPEED LIMIT,speed ten mph speed limit
66,FAIL TO YIELD TO PEDESTRIAN AT NON-SIGNALIZED SITE,fail yield pedestrian non signalized site
67,NO REAR TAGS,rear tag
68,OBSTRUCTING CROSSWALK OR INTERSECTION,obstructing crosswalk intersection
69,PASSING  VEHICLE ON RIGHT,passing vehicle right
70,OPEN DOOR TO APPROACHING TRAFFIC,open door approaching traffic
71,DRIVE AT UNREASONABLE SPEED,drive unreasonable speed
72,LITTERING FROM VEHICLE ON PRIVATE/PUBLIC PROPERTY,littering vehicle private public property
73,PASS ON LEFT AND TURN RIGHT IN FRONT OF BUS,pas left turn right front bus
74,FAIL TO GIVE HAND OR MECHANICAL TURN SIGNAL,fail give hand mechanical turn signal
75,VIOLATION OF ONE WAY STREET RESTRICTION,violation one way street restriction
