Agency_ID,Max_Lat,Min_Lat,Max_Long,Min_Long
EMS1001,43.934127,43.03887,-91.089283,-91.321392
EMS1010,40.960384,40.67666,-72.637412,-73.446262
EMS1020,45.9267727142,45.5852360256,-122.3530505217,-122.74740388
EMS1034,41.6238386,41.3682798,-81.3940461,-81.6021144
EMS1035,41.5806411104,41.429326441,-81.5573043285,-81.8180810059
EMS1071,41.725493,41.489202,-83.273398,-83.873451
EMS1078,40.1383001114,39.8573182732,-74.5850613364,-75.0109158633
EMS1087,37.8336827138,37.5295111154,-85.8487827387,-85.9325921484
EMS1093,32.196717,31.979021,-80.994227,-81.323343
EMS1094,48.9903149306,48.6994212292,-122.1351465496,-123.0439436152
EMS1095,39.8322447132,39.455934702,-75.453393949,-75.7873798704
EMS1103,39.295213,38.997148,-84.824668,-85.059454
EMS1105,39.0930658804,38.8205079622,-84.4553736357,-84.6344063406
EMS1107,43.3454709,42.773347,-73.4081353,-74.030277
EMS1110,40.637531,40.232618,-79.773861,-80.174283
EMS1119,38.694677,38.690391,-122.015991,-122.024273
EMS1122,39.1090765,38.916938,-84.2725477,-84.497267
EMS1124,40.922538,40.492943,-89.489929,-89.900416
EMS1127,35.7799803758,34.8644593747,-117.669003,-119.4736543966
EMS1140,38.652664,38.156386,-122.229426,-122.600155
EMS1157,21.535696,21.272579,-157.706606,-158.150564
EMS1168,38.859441,38.432386,-75.088338,-75.738058
EMS1169,43.772571,43.480275,-116.101782,-116.505752
EMS1174,40.3816916267,39.9858151238,-88.1258814774,-88.4370003815
EMS1175,40.4748558639,39.9076087982,-87.5947015882,-87.8213194783
EMS1176,30.78026129,30.480843951,-97.4198706051,-97.9208420359
EMS1179,40.3320344384,39.9700030467,-75.0061222595,-75.770937587
EMS1180,44.70573,44.027789,-88.069335,-89.151558
EMS1186,39.039734,38.719106,-94.607969,-95.018595
EMS1189,36.1947666603,36.1341770161,-85.2755205909,-85.6456729913
EMS1192,40.234369,39.730292,-75.409197,-76.029868
EMS1194,41.6705973,41.3743882,-81.0263629,-81.3873254
EMS1198,42.564166,42.1477315556,-123.3085432672,-123.6550805125
EMS1200,34.8814585727,34.5330090312,-86.4164733162,-86.8469031128
EMS1201,50.2128239826,49.2185478416,-122.6516399461,-126.5951890146
EMS1203,27.6062562396,27.2805055299,-82.1174530142,-82.7296495063
EMS1204,42.2655091884,41.6273702915,-79.6510327269,-80.5100410108
EMS1205,38.965132,38.822958,-76.919417,-77.108829
EMS1206,30.7422093599,30.281581,-87.167884688,-87.518308
EMS1210,39.902404,39.715987,-85.64883,-85.9626045
EMS1225,46.86496,46.78331,-100.77464,-100.94712
EMS1226,41.5559307828,41.2718408051,-78.2395372079,-78.7491007884
EMS1232,39.19026,39.164236,-86.532083,-86.58254
EMS1234,35.8007518625,35.370651482,-77.1832446325,-78.2559314
EMS1236,28.6512589503,27.8596452515,-80.4925954974,-80.8659611342
EMS1239,41.8480259068,41.8260945415,-79.1147106371,-79.3328518267
EMS1241,37.686184395,36.67264,-92.25365,-94.406316888
EMS1247,35.381446,34.984883,-85.01563,-85.364713
EMS1252,41.5559307828,41.5104508319,-78.2395372079,-78.374403345
EMS1255,41.8084928627,41.4887245518,-79.688708171,-80.4271631453
EMS1258,41.248455036,41.001269886,-79.2778337729,-79.4341384033
EMS1264,36.89109034,36.697346,-75.925424,-76.20897306
EMS1265,41.9896186781,41.6900782176,-78.2526001769,-78.6697184961
EMS1284,40.176622,39.382081,-118.48323,-120.605017
EMS1295,34.7379177,34.7273347,-112.0078614,-112.0290068
EMS1296,29.92252,29.606254,-82.187815,-82.555296
EMS1304,39.3078619671,38.8484593357,-75.3534093721,-75.7127611816
EMS1305,38.622948,38.227789,-122.457923,-123.052059
EMS1312,38.4769993641,38.2920732187,-75.3524974614,-75.7571895165
EMS1315,38.512538997,38.271590232,-85.535547,-85.811314096
EMS1316,35.477607,35.040534,-80.641165,-80.93912
EMS1318,44.6283771,44.2518014,-89.3652365,-89.7438265
EMS1321,40.0718413,39.7018883,-86.1617803,-86.485498
EMS1329,45.123999,44.929682,-92.999908,-93.205269
EMS1337,35.652913,35.377116,-97.425356,-97.728849
EMS1338,36.220485,35.994215,-95.838657,-96.129919
EMS1340,42.7332735474,42.4496149345,-83.6893558156,-84.0677743243
EMS1344,39.0935609,38.8926908,-119.7195352,-119.8899114
EMS1347,65.0265044472,64.3182712683,-146.7187723986,-147.988426818
EMS1355,45.392961,45.040589,-93.031411,-93.472397
EMS1363,40.2772204625,40.005307514,-85.5650872032,-85.749559684
EMS1366,41.653518,41.462631,-93.685303,-93.958099
EMS1372,33.0456821303,32.9371972115,-96.820364495,-97.026897491
EMS1375,43.6798198,43.5440078,-116.512647,-116.8166191
EMS1376,30.466192,30.082242,-95.270754,-95.763954
EMS1385,46.69452,46.16395,-93.86708,-94.32903
EMS1394,41.2942410758,40.9537139575,-78.1454559569,-78.7755701876
EMS1395,39.767461,39.636048,-104.715704,-104.877479
EMS1424,39.0588800417,38.7745373469,-92.223012647,-92.4948005929
EMS1438,45.417017,45.037407,-123.102233,-123.67624
EMS1457,48.064737742,47.766858661,-121.797446609,-122.35497754
EMS1464,40.398226972,40.0930872836,-82.7882115052,-83.1694903463
00001,44.6156668354,44.5512258944,-123.2523724675,-123.2637205609
00004,44.6811826603,44.5839923303,-123.0236334009,-123.1575082164
00012,42.206762,42.179907,-122.661116,-122.720086
00015,44.8448812184,44.8392707254,-122.8677897372,-122.8765306138
00016,45.223012,45.223012,-122.775159,-122.775159
00024,44.1462591849,44.0106467917,-121.2031438854,-121.3704957446
00036,44.4272348212,44.3754987991,-122.9183663707,-122.9725421543
00042,45.275681,45.256713,-122.674747,-122.699667
00057,45.460856,45.259072,-122.331337,-122.669056
00064,44.1991091484,44.1991091484,-123.0608446141,-123.0608446141
00086,44.9318751434,44.9165933069,-123.2913002027,-123.3204333983
00087,44.9343995141,44.9039811289,-123.210889202,-123.3190422158
00092,44.873902077,44.8108752526,-124.0368467963,-124.0618035501
00094,43.9632783754,43.8843583327,-122.8153284241,-122.8804415764
00109,45.288025,45.282906,-122.331952,-122.334812
00116,42.563748,42.563748,-123.09272,-123.09272
00132,45.390835,45.38174,-122.581142,-122.600356
00140,42.564166,42.4246818465,-123.3100993066,-123.371836
00144,45.5587424982,45.4781760277,-122.3677593731,-122.4878249239
00147,44.4498171987,44.4498171987,-123.2074506233,-123.2074506233
00154,44.2936054114,44.2618338069,-123.0610948891,-123.1605039301
00155,39.756339,39.756339,-104.709695,-104.709695
00161,45.564941,45.497208,-122.866852,-123.001951
00163,45.344419,45.344419,-121.948249,-121.948249
00165,45.2230121776,45.1861915293,-122.7751586912,-122.8008159731
00167,44.69321667,44.69321667,-121.984215736,-121.984215736
00168,42.2684083824,42.1140647621,-123.4751459789,-123.6585
00170,39.739614,39.732895,-104.332197,-104.366001
00173,42.533598,42.358339,-122.787273,-123.049365
00174,42.281669,42.155057,-122.629309,-122.828987
00175,42.314061,42.314061,-122.9718,-122.9718
